Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
MX1,ENSG00000157601,IRF3,+,1043,1060,Genomic
MX1,ENSG00000157601,IRF3,+,1049,1066,Genomic
OASL,ENSG00000135114,IRF3,+,8442,8459,Genomic
GBP4,ENSG00000162654,IRF3,-,495,512,Genomic
CMPK2,ENSG00000134326,IRF3,+,11350,11367,Genomic
CMPK2,ENSG00000134326,IRF3,+,16512,16529,Genomic
CMPK2,ENSG00000134326,IRF3,-,1319,1336,Genomic
CMPK2,ENSG00000134326,-,91,108,Transcript,
IFI44L,ENSG00000137959,IRF3,+,9071,9088,Genomic
IFIT3,ENSG00000119917,IRF3,+,3806,3823,Genomic
IFIT3,ENSG00000119917,IRF3,-,1033,1050,Genomic
IFIT3,ENSG00000119917,IRF3,-,1067,1084,Genomic
IFIT3,ENSG00000119917,IRF3,-,5621,5638,Genomic
IFIT3,ENSG00000119917,IRF3,-,5627,5644,Genomic
IFIT3,ENSG00000119917,IRF3,-,5670,5687,Genomic
TNFSF10,ENSG00000121858,IRF3,-,357,374,Genomic
TNFSF10,ENSG00000121858,IRF3,-,489,506,Genomic
TNFSF10,ENSG00000121858,IRF3,-,1063,1080,Genomic
TNFSF10,ENSG00000121858,IRF3,-,3119,3136,Genomic
TNFSF10,ENSG00000121858,IRF3,-,16651,16668,Genomic
OAS1,ENSG00000089127,IRF3,+,18583,18600,Genomic
OAS1,ENSG00000089127,IRF3,-,9956,9973,Genomic
USP18,ENSG00000184979,IRF3,-,716,733,Genomic
USP18,ENSG00000184979,IRF3,-,3385,3402,Genomic
USP18,ENSG00000184979,IRF3,-,10962,10979,Genomic
USP18,ENSG00000184979,IRF3,-,27514,27531,Genomic
USP18,ENSG00000184979,-,1317,1334,Transcript,
IFIH1,ENSG00000115267,IRF3,+,473,490,Genomic
IFIH1,ENSG00000115267,IRF3,+,34944,34961,Genomic
IFIH1,ENSG00000115267,IRF3,+,39018,39035,Genomic
IFIH1,ENSG00000115267,IRF3,+,41061,41078,Genomic
IFIH1,ENSG00000115267,IRF3,-,334,351,Genomic
IFIH1,ENSG00000115267,IRF3,-,340,357,Genomic
IFIH1,ENSG00000115267,IRF3,-,9812,9829,Genomic
IFIH1,ENSG00000115267,IRF3,-,27683,27700,Genomic
IFIH1,ENSG00000115267,IRF3,-,33924,33941,Genomic
IFIH1,ENSG00000115267,IRF3,-,40006,40023,Genomic
GBP7,ENSG00000213512,IRF3,+,23886,23903,Genomic
GBP7,ENSG00000213512,IRF3,+,43192,43209,Genomic
GBP7,ENSG00000213512,IRF3,-,4529,4546,Genomic
GBP7,ENSG00000213512,+,1704,1721,Transcript,
GBP5,ENSG00000154451,IRF3,-,10076,10093,Genomic
DDX58,ENSG00000107201,IRF3,+,47311,47328,Genomic
DDX58,ENSG00000107201,IRF3,-,502,519,Genomic
DDX58,ENSG00000107201,IRF3,-,16238,16255,Genomic
DDX58,ENSG00000107201,IRF3,-,48904,48921,Genomic
ISG15,ENSG00000187608,IRF3,+,12538,12555,Genomic
ISG15,ENSG00000187608,IRF3,+,12746,12763,Genomic
ISG15,ENSG00000187608,IRF3,+,12752,12769,Genomic
ISG15,ENSG00000187608,IRF3,-,12703,12720,Genomic
RTP4,ENSG00000136514,IRF3,+,458,475,Genomic
RTP4,ENSG00000136514,IRF3,+,476,493,Genomic
RTP4,ENSG00000136514,IRF3,-,2471,2488,Genomic
HERC6,ENSG00000138642,IRF3,+,61123,61140,Genomic
HERC6,ENSG00000138642,IRF3,+,61154,61171,Genomic
HERC6,ENSG00000138642,IRF3,+,61160,61177,Genomic
HERC6,ENSG00000138642,IRF3,+,61166,61183,Genomic
HERC6,ENSG00000138642,IRF3,-,1172,1189,Genomic
HERC6,ENSG00000138642,IRF3,-,13670,13687,Genomic
HERC6,ENSG00000138642,IRF3,-,13686,13703,Genomic
HERC6,ENSG00000138642,IRF3,-,13691,13708,Genomic
HERC6,ENSG00000138642,IRF3,-,56027,56044,Genomic
CD274,ENSG00000120217,IRF3,-,330,347,Genomic
CD274,ENSG00000120217,IRF3,-,336,353,Genomic
SAMD9L,ENSG00000177409,IRF3,+,446,463,Genomic
SAMD9L,ENSG00000177409,IRF3,+,7892,7909,Genomic
SAMD9L,ENSG00000177409,IRF3,-,2063,2080,Genomic
HELZ2,ENSG00000130589,IRF3,+,500,517,Genomic
HELZ2,ENSG00000130589,+,0,17,Transcript,
IFI44,ENSG00000137965,IRF3,-,474,491,Genomic
TLR3,ENSG00000164342,IRF3,+,7762,7779,Genomic
TLR3,ENSG00000164342,IRF3,-,9787,9804,Genomic
CIITA,ENSG00000179583,IRF3,+,1670,1687,Genomic
CIITA,ENSG00000179583,IRF3,+,13180,13197,Genomic
CIITA,ENSG00000179583,IRF3,-,45772,45789,Genomic
CIITA,ENSG00000179583,IRF3,-,45813,45830,Genomic
CIITA,ENSG00000179583,IRF3,-,45829,45846,Genomic
CIITA,ENSG00000179583,IRF3,-,47565,47582,Genomic
CIITA,ENSG00000179583,IRF3,-,47579,47596,Genomic
ISG20,ENSG00000172183,IRF3,+,3771,3788,Genomic
PARP14,ENSG00000173193,IRF3,+,16,33,Genomic
PARP14,ENSG00000173193,IRF3,+,465,482,Genomic
PARP14,ENSG00000173193,IRF3,+,1711,1728,Genomic
PARP14,ENSG00000173193,IRF3,+,1717,1734,Genomic
