Species,Gene_Name,ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,DDO,ENSG00000203797,IRF7,-,789,799,Genomic
Homo sapiens,DDO,ENSG00000203797,IRF7,-,13649,13659,Genomic
Homo sapiens,PIP4K2A,ENSG00000150867,IRF7,-,103200,103210,Genomic
Homo sapiens,RP11-148B18.4,ENSG00000236098,IRF3,-,69468,69478,Genomic
Homo sapiens,RP11-148B18.4,ENSG00000236098,IRF9,-,69468,69478,Genomic
Homo sapiens,NCKAP5,ENSG00000176771,IRF3,-,470821,470831,Genomic
Homo sapiens,NCKAP5,ENSG00000176771,IRF9,-,470821,470831,Genomic
Homo sapiens,HLA-F-AS1,ENSG00000214922,IRF3,-,56846,56856,Genomic
Homo sapiens,HLA-F-AS1,ENSG00000214922,IRF9,-,56846,56856,Genomic
Homo sapiens,IL20RB,ENSG00000174564,IRF7,-,59869,59879,Genomic
Homo sapiens,KDSR,ENSG00000119537,IRF3,-,36754,36764,Genomic
Homo sapiens,KDSR,ENSG00000119537,IRF9,-,36754,36764,Genomic
Homo sapiens,KDSR,ENST00000645214,IRF9,-,1507,1517,Transcript
Homo sapiens,H3F3B,ENSG00000132475,IRF3,+,3116,3126,Genomic
Homo sapiens,H3F3B,ENSG00000132475,IRF9,+,3116,3126,Genomic
Homo sapiens,ALMS1,ENSG00000116127,IRF3,-,19260,19270,Genomic
Homo sapiens,ALMS1,ENSG00000116127,IRF3,-,210507,210517,Genomic
Homo sapiens,ALMS1,ENSG00000116127,IRF9,-,19260,19270,Genomic
Homo sapiens,ALMS1,ENSG00000116127,IRF9,-,210507,210517,Genomic
Homo sapiens,RP11-875O11.1,ENSG00000245025,IRF3,-,1461,1471,Genomic
Homo sapiens,RP11-875O11.1,ENSG00000245025,IRF9,-,1461,1471,Genomic
Homo sapiens,AKT3,ENSG00000117020,IRF3,+,318474,318484,Genomic
Homo sapiens,AKT3,ENSG00000117020,IRF7,+,61007,61017,Genomic
Homo sapiens,AKT3,ENSG00000117020,IRF9,+,318474,318484,Genomic
Homo sapiens,EXOC2,ENSG00000112685,IRF3,-,96607,96617,Genomic
Homo sapiens,EXOC2,ENSG00000112685,IRF9,-,96607,96617,Genomic
Homo sapiens,C5orf56,ENSG00000197536,IRF7,-,754,764,Genomic
Homo sapiens,HOXD-AS2,ENSG00000237380,IRF3,-,1643,1653,Genomic
Homo sapiens,HOXD-AS2,ENSG00000237380,IRF9,-,1643,1653,Genomic
Homo sapiens,HDX,ENSG00000165259,IRF3,-,1154,1164,Genomic
Homo sapiens,HDX,ENSG00000165259,IRF9,-,1154,1164,Genomic
Homo sapiens,PARK2,ENSG00000185345,IRF3,+,310537,310547,Genomic
Homo sapiens,PARK2,ENSG00000185345,IRF3,+,894423,894433,Genomic
Homo sapiens,PARK2,ENSG00000185345,IRF7,+,1327765,1327775,Genomic
Homo sapiens,PARK2,ENSG00000185345,IRF9,+,310537,310547,Genomic
Homo sapiens,PARK2,ENSG00000185345,IRF9,+,894423,894433,Genomic
Homo sapiens,TRIM44,ENSG00000166326,IRF3,-,62156,62166,Genomic
Homo sapiens,TRIM44,ENSG00000166326,IRF9,-,62156,62166,Genomic
Homo sapiens,EXOC3L1,ENSG00000179044,IRF3,+,4997,5007,Genomic
Homo sapiens,EXOC3L1,ENSG00000179044,IRF9,+,4997,5007,Genomic
Homo sapiens,CACNA1A,ENSG00000141837,IRF3,+,207630,207640,Genomic
Homo sapiens,CACNA1A,ENSG00000141837,IRF9,+,207630,207640,Genomic
Homo sapiens,COX10,ENSG00000006695,IRF7,+,162511,162521,Genomic
Homo sapiens,FYB,ENSG00000082074,IRF7,+,124770,124780,Genomic
Homo sapiens,MYO10,ENSG00000145555,IRF3,-,157311,157321,Genomic
Homo sapiens,MYO10,ENSG00000145555,IRF7,+,145186,145196,Genomic
Homo sapiens,MYO10,ENSG00000145555,IRF9,-,157311,157321,Genomic
Homo sapiens,NDUFA9,ENSG00000139180,IRF7,-,732,742,Genomic
Homo sapiens,RP11-37B2.1,ENSG00000251136,IRF3,-,171247,171257,Genomic
Homo sapiens,RP11-37B2.1,ENSG00000251136,IRF9,-,171247,171257,Genomic
Homo sapiens,COX10-AS1,ENSG00000236088,IRF3,-,176576,176586,Genomic
Homo sapiens,COX10-AS1,ENSG00000236088,IRF7,+,40160,40170,Genomic
Homo sapiens,COX10-AS1,ENSG00000236088,IRF9,-,176576,176586,Genomic
Homo sapiens,KDM6A,ENSG00000147050,IRF7,-,182038,182048,Genomic
Homo sapiens,LINC00702,ENSG00000233117,IRF3,+,20009,20019,Genomic
Homo sapiens,LINC00702,ENSG00000233117,IRF9,+,20009,20019,Genomic
Homo sapiens,QKI,ENSG00000112531,IRF7,+,34404,34414,Genomic
Homo sapiens,ECHS1,ENSG00000127884,IRF7,-,173,183,Genomic
Homo sapiens,PSMB8-AS1,ENSG00000204261,IRF7,+,464,474,Genomic
Homo sapiens,CTD-2201E18.3,ENSG00000177738,IRF3,+,47666,47676,Genomic
Homo sapiens,CTD-2201E18.3,ENSG00000177738,IRF3,-,27702,27712,Genomic
