Species,Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,ADCY7,ENSG00000121281,IRF3,-,2079,2096,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF7,+,31355,31368,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF3,-,100639,100656,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF3,-,151057,151074,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF3,-,151063,151080,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF7,+,122758,122771,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF7,+,168457,168470,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF7,+,179665,179678,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF7,-,1086,1099,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF7,-,89093,89106,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF7,-,151062,151075,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF9,-,151062,151077,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF3,+,115035,115052,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF3,-,52325,52342,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF3,-,142207,142224,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF3,-,165217,165234,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF7,+,64343,64356,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF7,+,110238,110251,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF7,+,152452,152465,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF7,-,29864,29877,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF7,-,38675,38688,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF7,-,52324,52337,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF7,-,68486,68499,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF7,-,155537,155550,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF9,-,29864,29879,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF9,-,68486,68501,Genomic
Homo sapiens,PRRX2,ENSG00000167157,IRF7,+,30945,30958,Genomic
Homo sapiens,TRIM9,ENSG00000100505,IRF3,-,62834,62851,Genomic
Homo sapiens,TRIM9,ENSG00000100505,IRF7,+,103173,103186,Genomic
Homo sapiens,TRIM9,ENSG00000100505,IRF7,+,111160,111173,Genomic
Homo sapiens,TRIM9,ENSG00000100505,IRF7,-,34973,34986,Genomic
Homo sapiens,TRIM9,ENSG00000100505,IRF7,-,89906,89919,Genomic
Homo sapiens,TRIM9,ENSG00000100505,IRF9,+,103171,103186,Genomic
Homo sapiens,HLA-K,ENSG00000230795,IRF3,-,1127,1144,Genomic
Homo sapiens,HOXC-AS2,ENSG00000250133,IRF3,-,1219,1236,Genomic
Homo sapiens,RP11-357H14.16,ENSG00000257178,IRF3,-,3303,3320,Genomic
Homo sapiens,MILR1,ENSG00000271605,IRF7,+,12504,12517,Genomic
Homo sapiens,MILR1,ENSG00000271605,IRF7,+,13194,13207,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF3,+,167677,167694,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF3,-,215388,215405,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF3,-,419138,419155,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,+,16262,16275,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,+,83266,83279,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,+,136849,136862,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,+,162871,162884,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,+,243894,243907,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,+,254791,254804,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,+,258254,258267,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,+,297757,297770,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,3087,3100,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,20616,20629,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,61858,61871,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,95596,95609,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,130993,131006,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,194486,194499,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,208993,209006,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,333844,333857,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,343143,343156,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,348425,348438,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,426861,426874,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,460914,460927,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF9,-,426861,426876,Genomic
Homo sapiens,RP11-490H24.5,ENSG00000216285,IRF7,-,1405,1418,Genomic
Homo sapiens,DDO,ENSG00000203797,IRF7,-,787,800,Genomic
Homo sapiens,DDO,ENSG00000203797,IRF7,-,13647,13660,Genomic
Homo sapiens,DDO,ENST00000368924,IRF7,-,0,13,Transcript
Homo sapiens,DDO,ENSG00000203797,IRF9,-,787,802,Genomic
Homo sapiens,DDO,ENST00000368924,IRF9,-,0,15,Transcript
Homo sapiens,RP11-806H10.4,ENSG00000266970,IRF3,-,18140,18157,Genomic
Homo sapiens,RP11-635N19.1,ENSG00000267390,IRF7,+,10113,10126,Genomic
Homo sapiens,RP11-635N19.1,ENSG00000267390,IRF7,+,13190,13203,Genomic
Homo sapiens,RP11-635N19.1,ENSG00000267390,IRF9,+,10111,10126,Genomic
Homo sapiens,BRIP1,ENSG00000136492,IRF3,-,75812,75829,Genomic
Homo sapiens,BRIP1,ENSG00000136492,IRF3,-,104801,104818,Genomic
Homo sapiens,BRIP1,ENSG00000136492,IRF3,-,135658,135675,Genomic
Homo sapiens,BRIP1,ENSG00000136492,IRF7,+,45640,45653,Genomic
Homo sapiens,BRIP1,ENSG00000136492,IRF7,+,107920,107933,Genomic
Homo sapiens,BRIP1,ENSG00000136492,IRF7,+,158302,158315,Genomic
Homo sapiens,BRIP1,ENSG00000136492,IRF7,-,106643,106656,Genomic
Homo sapiens,BRIP1,ENSG00000136492,IRF7,-,129441,129454,Genomic
Homo sapiens,BRIP1,ENSG00000136492,IRF7,-,142414,142427,Genomic
Homo sapiens,RP11-164J13.1,ENSG00000258461,IRF7,+,23417,23430,Genomic
Homo sapiens,BET1,ENSG00000105829,IRF3,-,1023,1040,Genomic
Homo sapiens,BET1,ENSG00000105829,IRF7,-,29477,29490,Genomic
Homo sapiens,RDH14,ENSG00000240857,IRF3,+,1178,1195,Genomic
Homo sapiens,FPR1,ENSG00000171051,IRF3,-,17736,17753,Genomic
