Species,Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,ADCY7,ENSG00000121281,IRF3,-,4579,4596,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF7,+,33855,33868,Genomic
Homo sapiens,RP11-295G20.2,ENSG00000233461,IRF7,-,12056,12069,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF3,-,103139,103156,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF3,-,153557,153574,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF3,-,153563,153580,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF7,+,125258,125271,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF7,+,170957,170970,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF7,+,182165,182178,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF7,-,3586,3599,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF7,-,91593,91606,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF7,-,153562,153575,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF9,-,153562,153577,Genomic
Homo sapiens,SNORD3A,ENSG00000263934,IRF7,+,5989,6002,Genomic
Homo sapiens,SNORD3A,ENSG00000263934,IRF7,-,2228,2241,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF3,+,117535,117552,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF3,-,54825,54842,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF3,-,144707,144724,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF3,-,167717,167734,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF7,+,66843,66856,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF7,+,112738,112751,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF7,+,154952,154965,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF7,-,32364,32377,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF7,-,41175,41188,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF7,-,54824,54837,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF7,-,70986,70999,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF7,-,158037,158050,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF9,-,32364,32379,Genomic
Homo sapiens,PLEKHB2,ENSG00000115762,IRF9,-,70986,71001,Genomic
Homo sapiens,PRRX2,ENSG00000167157,IRF3,+,2338,2355,Genomic
Homo sapiens,PRRX2,ENSG00000167157,IRF7,+,33445,33458,Genomic
Homo sapiens,PRRX2,ENSG00000167157,IRF9,+,2341,2356,Genomic
Homo sapiens,TRIM9,ENSG00000100505,IRF3,-,65334,65351,Genomic
Homo sapiens,TRIM9,ENSG00000100505,IRF7,+,105673,105686,Genomic
Homo sapiens,TRIM9,ENSG00000100505,IRF7,+,113660,113673,Genomic
Homo sapiens,TRIM9,ENSG00000100505,IRF7,-,37473,37486,Genomic
Homo sapiens,TRIM9,ENSG00000100505,IRF7,-,92406,92419,Genomic
Homo sapiens,TRIM9,ENSG00000100505,IRF9,+,105671,105686,Genomic
Homo sapiens,HLA-K,ENSG00000230795,IRF3,-,3627,3644,Genomic
Homo sapiens,HOXC-AS2,ENSG00000250133,IRF3,-,1538,1555,Genomic
Homo sapiens,HOXC-AS2,ENSG00000250133,IRF3,-,3719,3736,Genomic
Homo sapiens,HOXB4,ENSG00000182742,IRF3,-,1894,1911,Genomic
Homo sapiens,HOXB4,ENSG00000182742,IRF7,-,6503,6516,Genomic
Homo sapiens,RP11-357H14.16,ENSG00000257178,IRF3,-,5803,5820,Genomic
Homo sapiens,MILR1,ENSG00000271605,IRF7,+,15004,15017,Genomic
Homo sapiens,MILR1,ENSG00000271605,IRF7,+,15694,15707,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF3,+,170177,170194,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF3,-,217888,217905,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF3,-,421638,421655,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,+,18762,18775,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,+,85766,85779,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,+,139349,139362,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,+,165371,165384,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,+,246394,246407,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,+,257291,257304,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,+,260754,260767,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,+,300257,300270,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,5587,5600,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,23116,23129,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,64358,64371,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,98096,98109,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,133493,133506,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,196986,196999,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,211493,211506,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,336344,336357,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,345643,345656,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,350925,350938,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,429361,429374,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF7,-,463414,463427,Genomic
Homo sapiens,DIRC3,ENSG00000231672,IRF9,-,429361,429376,Genomic
Homo sapiens,RP11-490H24.5,ENSG00000216285,IRF7,-,3905,3918,Genomic
Homo sapiens,DDO,ENSG00000203797,IRF7,-,3287,3300,Genomic
Homo sapiens,DDO,ENSG00000203797,IRF7,-,16147,16160,Genomic
Homo sapiens,DDO,ENST00000368924,IRF7,-,0,13,Transcript
Homo sapiens,DDO,ENSG00000203797,IRF9,-,3287,3302,Genomic
Homo sapiens,DDO,ENST00000368924,IRF9,-,0,15,Transcript
Homo sapiens,RP11-806H10.4,ENSG00000266970,IRF3,-,20640,20657,Genomic
Homo sapiens,RP11-635N19.1,ENSG00000267390,IRF7,+,12613,12626,Genomic
Homo sapiens,RP11-635N19.1,ENSG00000267390,IRF7,+,15690,15703,Genomic
Homo sapiens,RP11-635N19.1,ENSG00000267390,IRF9,+,12611,12626,Genomic
Homo sapiens,HLA-J,ENSG00000204622,IRF7,+,2198,2211,Genomic
Homo sapiens,BRIP1,ENSG00000136492,IRF3,-,78312,78329,Genomic
Homo sapiens,BRIP1,ENSG00000136492,IRF3,-,107301,107318,Genomic
Homo sapiens,BRIP1,ENSG00000136492,IRF3,-,138158,138175,Genomic
Homo sapiens,BRIP1,ENSG00000136492,IRF7,+,48140,48153,Genomic
Homo sapiens,BRIP1,ENSG00000136492,IRF7,+,110420,110433,Genomic
Homo sapiens,BRIP1,ENSG00000136492,IRF7,+,160802,160815,Genomic
Homo sapiens,BRIP1,ENSG00000136492,IRF7,-,109143,109156,Genomic
Homo sapiens,BRIP1,ENSG00000136492,IRF7,-,131941,131954,Genomic
Homo sapiens,BRIP1,ENSG00000136492,IRF7,-,144914,144927,Genomic
Homo sapiens,HLA-V,ENSG00000181126,IRF7,+,2210,2223,Genomic
Homo sapiens,RP11-164J13.1,ENSG00000258461,IRF7,+,25917,25930,Genomic
Homo sapiens,DRAP1,ENSG00000175550,IRF7,+,7671,7684,Genomic
Homo sapiens,DRAP1,ENSG00000175550,IRF9,+,7669,7684,Genomic
Homo sapiens,BET1,ENSG00000105829,IRF3,-,3523,3540,Genomic
Homo sapiens,BET1,ENSG00000105829,IRF7,-,31977,31990,Genomic
Homo sapiens,RDH14,ENSG00000240857,IRF3,+,3678,3695,Genomic
Homo sapiens,FPR1,ENSG00000171051,IRF3,-,20236,20253,Genomic
Homo sapiens,FPR1,ENSG00000171051,IRF7,+,45648,45661,Genomic
Homo sapiens,FPR1,ENSG00000171051,IRF7,-,58950,58963,Genomic
Homo sapiens,SUCLG2-AS1,ENSG00000241316,IRF3,+,164348,164365,Genomic
Homo sapiens,SUCLG2-AS1,ENSG00000241316,IRF3,-,46415,46432,Genomic
Homo sapiens,SUCLG2-AS1,ENSG00000241316,IRF3,-,75904,75921,Genomic
Homo sapiens,SUCLG2-AS1,ENSG00000241316,IRF3,-,98816,98833,Genomic
Homo sapiens,SUCLG2-AS1,ENSG00000241316,IRF3,-,260347,260364,Genomic
Homo sapiens,SUCLG2-AS1,ENSG00000241316,IRF7,+,155850,155863,Genomic
Homo sapiens,SUCLG2-AS1,ENSG00000241316,IRF7,+,260831,260844,Genomic
Homo sapiens,SUCLG2-AS1,ENSG00000241316,IRF7,-,1537,1550,Genomic
Homo sapiens,SUCLG2-AS1,ENSG00000241316,IRF7,-,34164,34177,Genomic
Homo sapiens,SUCLG2-AS1,ENSG00000241316,IRF7,-,67213,67226,Genomic
Homo sapiens,SUCLG2-AS1,ENSG00000241316,IRF7,-,117287,117300,Genomic
Homo sapiens,SUCLG2-AS1,ENSG00000241316,IRF7,-,251258,251271,Genomic
Homo sapiens,PDIA4,ENSG00000155660,IRF3,-,11302,11319,Genomic
Homo sapiens,FAM122C,ENSG00000156500,IRF7,+,5464,5477,Genomic
Homo sapiens,FAM122C,ENSG00000156500,IRF7,+,14220,14233,Genomic
Homo sapiens,FAM122C,ENSG00000156500,IRF7,-,47009,47022,Genomic
Homo sapiens,FAM122C,ENST00000645433,IRF7,+,174,187,Transcript
Homo sapiens,ATR,ENSG00000175054,IRF3,-,83512,83529,Genomic
Homo sapiens,ATR,ENSG00000175054,IRF7,+,51338,51351,Genomic
Homo sapiens,ATR,ENSG00000175054,IRF7,+,121660,121673,Genomic
Homo sapiens,ATR,ENSG00000175054,IRF7,-,17895,17908,Genomic
Homo sapiens,ATR,ENSG00000175054,IRF7,-,40221,40234,Genomic
Homo sapiens,ATR,ENSG00000175054,IRF7,-,63592,63605,Genomic
Homo sapiens,ATR,ENSG00000175054,IRF9,-,42701,42716,Genomic
Homo sapiens,CTD-2090I13.1,ENSG00000234277,IRF7,-,3340,3353,Genomic
Homo sapiens,CTD-2090I13.1,ENSG00000234277,IRF7,-,18036,18049,Genomic
Homo sapiens,CTD-2090I13.1,ENSG00000234277,IRF7,-,22643,22656,Genomic
Homo sapiens,CTD-2090I13.1,ENSG00000234277,IRF9,+,589,604,Genomic
Homo sapiens,PIP4K2A,ENSG00000150867,IRF3,-,102073,102090,Genomic
Homo sapiens,PIP4K2A,ENSG00000150867,IRF3,-,134874,134891,Genomic
Homo sapiens,PIP4K2A,ENSG00000150867,IRF7,+,90971,90984,Genomic
Homo sapiens,PIP4K2A,ENSG00000150867,IRF7,+,136801,136814,Genomic
Homo sapiens,PIP4K2A,ENSG00000150867,IRF7,+,143135,143148,Genomic
Homo sapiens,PIP4K2A,ENSG00000150867,IRF7,-,105698,105711,Genomic
Homo sapiens,TSTD2,ENSG00000136925,IRF7,+,24809,24822,Genomic
Homo sapiens,TSTD2,ENSG00000136925,IRF7,-,8555,8568,Genomic
Homo sapiens,TSTD2,ENSG00000136925,IRF7,-,32821,32834,Genomic
Homo sapiens,RP11-148B18.4,ENSG00000236098,IRF3,-,71967,71984,Genomic
Homo sapiens,RP11-148B18.4,ENSG00000236098,IRF7,+,37607,37620,Genomic
Homo sapiens,RP11-148B18.4,ENSG00000236098,IRF7,-,75677,75690,Genomic
Homo sapiens,KLF8,ENSG00000102349,IRF3,-,61489,61506,Genomic
