Species,Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
homo_sapiens,SP110,ENSG00000135899,IRF3,+,33032,33049,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,-,31746,31763,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,+,48058,48071,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,-,15313,15326,Genomic
homo_sapiens,SP110,ENST00000258381,IRF7,+,1544,1557,Transcript
homo_sapiens,DNAJA1,ENSG00000086061,IRF3,-,1082,1099,Genomic
homo_sapiens,DNAJA1,ENSG00000086061,IRF7,-,1087,1100,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF3,+,16207,16224,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF3,-,18756,18773,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF7,-,12596,12609,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF7,-,18742,18755,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF7,-,18755,18768,Genomic
homo_sapiens,IL15RA,ENSG00000134470,IRF3,+,32901,32918,Genomic
homo_sapiens,IL15RA,ENSG00000134470,IRF3,+,32907,32924,Genomic
homo_sapiens,IL15RA,ENSG00000134470,IRF7,+,1075,1088,Genomic
homo_sapiens,IL15RA,ENSG00000134470,IRF7,+,1081,1094,Genomic
homo_sapiens,IL15RA,ENSG00000134470,IRF7,+,32906,32919,Genomic
homo_sapiens,IL15RA,ENSG00000134470,IRF7,-,2437,2450,Genomic
homo_sapiens,MYD88,ENSG00000172936,IRF7,+,547,560,Genomic
homo_sapiens,MAX,ENSG00000125952,IRF3,+,21620,21637,Genomic
homo_sapiens,MAX,ENSG00000125952,IRF7,+,4363,4376,Genomic
homo_sapiens,MAX,ENSG00000125952,IRF7,+,21625,21638,Genomic
homo_sapiens,MAX,ENSG00000125952,IRF7,+,44855,44868,Genomic
homo_sapiens,MAX,ENSG00000125952,IRF7,+,69147,69160,Genomic
homo_sapiens,MAX,ENSG00000125952,IRF7,-,19278,19291,Genomic
homo_sapiens,MAX,ENSG00000125952,IRF7,-,42979,42992,Genomic
homo_sapiens,MAX,ENSG00000125952,IRF7,-,50175,50188,Genomic
homo_sapiens,N4BP1,ENSG00000102921,IRF7,+,11906,11919,Genomic
homo_sapiens,N4BP1,ENSG00000102921,IRF7,+,20591,20604,Genomic
homo_sapiens,N4BP1,ENSG00000102921,IRF7,+,41320,41333,Genomic
homo_sapiens,N4BP1,ENSG00000102921,IRF7,-,27362,27375,Genomic
homo_sapiens,N4BP1,ENSG00000102921,IRF7,-,38988,39001,Genomic
homo_sapiens,KIAA1033,ENSG00000136051,IRF3,-,1450,1467,Genomic
homo_sapiens,KIAA1033,ENSG00000136051,IRF3,-,1456,1473,Genomic
homo_sapiens,KIAA1033,ENSG00000136051,IRF3,-,37638,37655,Genomic
homo_sapiens,KIAA1033,ENSG00000136051,IRF7,+,16615,16628,Genomic
homo_sapiens,KIAA1033,ENSG00000136051,IRF7,+,23728,23741,Genomic
homo_sapiens,KIAA1033,ENSG00000136051,IRF7,-,29996,30009,Genomic
homo_sapiens,MB21D1,ENSG00000164430,IRF3,-,46043,46060,Genomic
homo_sapiens,MB21D1,ENSG00000164430,IRF7,+,7065,7078,Genomic
homo_sapiens,MB21D1,ENSG00000164430,IRF7,-,3559,3572,Genomic
homo_sapiens,MB21D1,ENSG00000164430,IRF7,-,6275,6288,Genomic
homo_sapiens,MB21D1,ENSG00000164430,IRF7,-,23014,23027,Genomic
homo_sapiens,MB21D1,ENSG00000164430,IRF7,-,31564,31577,Genomic
homo_sapiens,MB21D1,ENSG00000164430,IRF9,+,7063,7078,Genomic
homo_sapiens,CYLD,ENSG00000083799,IRF7,+,11102,11115,Genomic
homo_sapiens,CYLD,ENSG00000083799,IRF7,-,40461,40474,Genomic
homo_sapiens,CYLD,ENSG00000083799,IRF7,-,44601,44614,Genomic
homo_sapiens,CYLD,ENSG00000083799,IRF7,-,56389,56402,Genomic
homo_sapiens,CYLD,ENST00000427738,IRF7,-,4525,4538,Transcript
homo_sapiens,TRIM38,ENSG00000112343,IRF7,+,9302,9315,Genomic
homo_sapiens,TRIM38,ENSG00000112343,IRF7,-,29378,29391,Genomic
homo_sapiens,ETV7,ENSG00000010030,IRF3,-,506,523,Genomic
homo_sapiens,ETV7,ENSG00000010030,IRF3,-,16264,16281,Genomic
homo_sapiens,ETV7,ENSG00000010030,IRF7,-,505,518,Genomic
homo_sapiens,OASL,ENSG00000135114,IRF7,-,5718,5731,Genomic
homo_sapiens,OASL,ENSG00000135114,IRF7,-,10617,10630,Genomic
homo_sapiens,PSMB9,ENSG00000240065,IRF3,+,400,417,Genomic
homo_sapiens,PSMB9,ENSG00000240065,IRF3,+,10187,10204,Genomic
homo_sapiens,PSMB9,ENSG00000240065,IRF7,+,405,418,Genomic
homo_sapiens,PSMB9,ENSG00000240065,IRF7,+,10192,10205,Genomic
homo_sapiens,PSMB9,ENSG00000240065,IRF7,-,2874,2887,Genomic
homo_sapiens,PSMB9,ENSG00000240065,IRF7,-,10934,10947,Genomic
homo_sapiens,CMPK2,ENSG00000134326,IRF7,+,108,121,Genomic
homo_sapiens,VPS54,ENSG00000143952,IRF7,+,8057,8070,Genomic
homo_sapiens,VPS54,ENSG00000143952,IRF7,+,22805,22818,Genomic
homo_sapiens,VPS54,ENSG00000143952,IRF7,+,55314,55327,Genomic
homo_sapiens,VPS54,ENSG00000143952,IRF7,+,62248,62261,Genomic
homo_sapiens,VPS54,ENSG00000143952,IRF7,-,94390,94403,Genomic
homo_sapiens,EHD4,ENSG00000103966,IRF7,+,34902,34915,Genomic
homo_sapiens,EHD4,ENSG00000103966,IRF7,+,64235,64248,Genomic
homo_sapiens,USP42,ENSG00000106346,IRF3,-,41064,41081,Genomic
homo_sapiens,USP42,ENSG00000106346,IRF7,+,52556,52569,Genomic
homo_sapiens,USP42,ENSG00000106346,IRF7,-,1700,1713,Genomic
homo_sapiens,USP42,ENSG00000106346,IRF7,-,32205,32218,Genomic
homo_sapiens,USP42,ENST00000306177,IRF7,+,3970,3983,Transcript
homo_sapiens,PSMA3,ENSG00000100567,IRF3,-,3371,3388,Genomic
homo_sapiens,PSMA3,ENSG00000100567,IRF7,+,994,1007,Genomic
