Species,Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,MX1,ENSG00000157601,IRF3,+,1043,1060,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,+,1049,1066,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,+,1048,1061,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,+,26020,26033,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,8736,8749,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,42072,42085,Genomic
Homo sapiens,MX1,ENST00000398598,IRF7,+,1433,1446,Transcript
Homo sapiens,MX1,ENSG00000157601,IRF9,+,1046,1061,Genomic
Homo sapiens,OASL,ENSG00000135114,IRF7,-,5718,5731,Genomic
Homo sapiens,OASL,ENSG00000135114,IRF7,-,10617,10630,Genomic
Homo sapiens,GBP4,ENSG00000162654,IRF3,-,495,512,Genomic
Homo sapiens,GBP4,ENSG00000162654,IRF7,+,18481,18494,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF3,-,1319,1336,Genomic
Homo sapiens,CMPK2,ENST00000256722,IRF3,-,91,108,Transcript
Homo sapiens,CMPK2,ENSG00000134326,IRF7,+,108,121,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF7,-,3773,3786,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF7,-,17147,17160,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,-,1067,1084,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,-,5621,5638,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,-,5627,5644,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,-,5670,5687,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,+,17467,17480,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,+,31579,31592,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,+,37926,37939,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,-,1032,1045,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,-,1066,1079,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,-,5669,5682,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,-,24785,24798,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF9,+,10409,10424,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF9,-,5669,5684,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,357,374,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,489,506,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,1063,1080,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,3119,3136,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,16651,16668,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF7,-,15687,15700,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF3,+,18583,18600,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF3,-,9956,9973,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF7,+,18588,18601,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF3,-,716,733,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF3,-,27514,27531,Genomic
Homo sapiens,USP18,ENST00000215794,IRF3,-,1317,1334,Transcript
Homo sapiens,USP18,ENSG00000184979,IRF7,+,735,748,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF7,-,715,728,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF9,-,715,730,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,473,490,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,41061,41078,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,-,334,351,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,28994,29007,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,42410,42423,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,50941,50954,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,-,17434,17447,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,-,21624,21637,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,-,22278,22291,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,-,44706,44719,Genomic
Homo sapiens,IFIH1,ENST00000649979,IRF7,+,2593,2606,Transcript
Homo sapiens,IFIH1,ENST00000649979,IRF7,+,3027,3040,Transcript
Homo sapiens,IFIH1,ENSG00000115267,IRF9,+,476,491,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF3,+,23886,23903,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF3,+,43192,43209,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF3,-,4529,4546,Genomic
Homo sapiens,GBP7,ENST00000294671,IRF3,+,1704,1721,Transcript
Homo sapiens,GBP7,ENSG00000213512,IRF7,+,33528,33541,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF7,-,11905,11918,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF7,-,40794,40807,Genomic
Homo sapiens,GBP5,ENSG00000154451,IRF3,-,10076,10093,Genomic
Homo sapiens,GBP5,ENSG00000154451,IRF7,+,7925,7938,Genomic
Homo sapiens,GBP5,ENSG00000154451,IRF7,-,10081,10094,Genomic
Homo sapiens,DDX58,ENSG00000107201,IRF7,+,24309,24322,Genomic
Homo sapiens,DDX58,ENSG00000107201,IRF7,+,30728,30741,Genomic
Homo sapiens,DDX58,ENSG00000107201,IRF7,-,501,514,Genomic
Homo sapiens,DDX58,ENSG00000107201,IRF7,-,71160,71173,Genomic
Homo sapiens,DDX58,ENST00000379883,IRF7,-,4241,4254,Transcript
Homo sapiens,ISG15,ENSG00000187608,IRF3,+,12538,12555,Genomic
Homo sapiens,ISG15,ENSG00000187608,IRF3,+,12746,12763,Genomic
Homo sapiens,ISG15,ENSG00000187608,IRF3,+,12752,12769,Genomic
Homo sapiens,ISG15,ENSG00000187608,IRF7,+,12543,12556,Genomic
Homo sapiens,ISG15,ENSG00000187608,IRF7,+,12751,12764,Genomic
Homo sapiens,ISG15,ENSG00000187608,IRF9,+,12749,12764,Genomic
Homo sapiens,RTP4,ENSG00000136514,IRF3,+,476,493,Genomic
Homo sapiens,RTP4,ENSG00000136514,IRF3,-,2471,2488,Genomic
Homo sapiens,RTP4,ENSG00000136514,IRF7,+,481,494,Genomic
Homo sapiens,RTP4,ENSG00000136514,IRF9,+,479,494,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF3,+,61123,61140,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF3,+,61160,61177,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF3,-,1172,1189,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF3,-,13670,13687,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF3,-,13686,13703,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF3,-,56027,56044,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF7,+,36256,36269,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF7,+,45586,45599,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF7,-,1142,1155,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF7,-,4653,4666,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF7,-,32891,32904,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF7,-,41874,41887,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF7,-,43812,43825,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF7,-,45498,45511,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF7,-,64799,64812,Genomic
Homo sapiens,HERC6,ENST00000264346,IRF7,-,3716,3729,Transcript
Homo sapiens,ZMYND15,ENSG00000141497,IRF7,+,310,323,Genomic
Homo sapiens,CD274,ENSG00000120217,IRF3,-,330,347,Genomic
Homo sapiens,CD274,ENSG00000120217,IRF3,-,336,353,Genomic
Homo sapiens,CD274,ENSG00000120217,IRF7,+,391,404,Genomic
Homo sapiens,CD274,ENSG00000120217,IRF7,-,329,342,Genomic
Homo sapiens,SAMD9L,ENSG00000177409,IRF3,+,7892,7909,Genomic
Homo sapiens,SAMD9L,ENSG00000177409,IRF3,-,2063,2080,Genomic
Homo sapiens,SAMD9L,ENSG00000177409,IRF7,+,451,464,Genomic
Homo sapiens,SAMD9L,ENSG00000177409,IRF7,+,1216,1229,Genomic
Homo sapiens,SAMD9L,ENSG00000177409,IRF7,+,1694,1707,Genomic
Homo sapiens,SAMD9L,ENSG00000177409,IRF7,+,6673,6686,Genomic
Homo sapiens,SAMD9L,ENSG00000177409,IRF7,+,16239,16252,Genomic
