Gene_Name,Gene_ID,TF,Strand,Start,End,Sequence_Type
KCNAB1,ENSG00000169282,IRF3,+,48578,48595,Genomic
KCNAB1,ENSG00000169282,IRF3,+,262483,262500,Genomic
KCNAB1,ENSG00000169282,IRF3,+,309950,309967,Genomic
KCNAB1,ENSG00000169282,IRF3,+,312084,312101,Genomic
KCNAB1,ENSG00000169282,IRF3,+,313880,313897,Genomic
KCNAB1,ENSG00000169282,IRF3,-,102811,102828,Genomic
ZNF341,ENSG00000131061,IRF3,-,11614,11631,Genomic
COL23A1,ENSG00000050767,IRF3,+,165364,165381,Genomic
COL23A1,ENSG00000050767,IRF3,+,192179,192196,Genomic
WDR78,ENSG00000152763,IRF3,+,38803,38820,Genomic
WDR78,ENSG00000152763,IRF3,+,85461,85478,Genomic
WDR78,ENSG00000152763,IRF3,+,104392,104409,Genomic
STRAP,ENSG00000023734,IRF3,+,16716,16733,Genomic
STRAP,ENSG00000023734,IRF3,-,11348,11365,Genomic
STRAP,ENSG00000023734,IRF3,-,16683,16700,Genomic
RNF6,ENSG00000127870,IRF3,-,18262,18279,Genomic
RNF6,ENSG00000127870,IRF3,-,55324,55341,Genomic
UPF3A,ENSG00000169062,IRF3,+,10052,10069,Genomic
HLF,ENSG00000108924,IRF3,-,56172,56189,Genomic
STK4,ENSG00000101109,IRF3,+,34460,34477,Genomic
STK4,ENSG00000101109,IRF3,-,25471,25488,Genomic
STK4,ENSG00000101109,+,950,967,Transcript
NTNG1,ENSG00000162631,IRF3,+,2525,2542,Genomic
NTNG1,ENSG00000162631,IRF3,+,312425,312442,Genomic
NTNG1,ENSG00000162631,IRF3,-,26760,26777,Genomic
NTNG1,ENSG00000162631,IRF3,-,134355,134372,Genomic
NTNG1,ENSG00000162631,IRF3,-,243240,243257,Genomic
NTNG1,ENSG00000162631,IRF3,-,273146,273163,Genomic
NTNG1,ENSG00000162631,IRF3,-,286855,286872,Genomic
KCNE3,ENSG00000175538,IRF3,-,5459,5476,Genomic
CPNE2,ENSG00000140848,IRF3,+,56095,56112,Genomic
CPNE2,ENSG00000140848,IRF3,+,56101,56118,Genomic
CPNE2,ENSG00000140848,+,2409,2426,Transcript
CPNE2,ENSG00000140848,+,2415,2432,Transcript
EDAR,ENSG00000135960,IRF3,+,20282,20299,Genomic
EDAR,ENSG00000135960,IRF3,-,15089,15106,Genomic
EDAR,ENSG00000135960,IRF3,-,15095,15112,Genomic
SUCLA2,ENSG00000136143,IRF3,-,150710,150727,Genomic
SUCLA2,ENSG00000136143,IRF3,-,174694,174711,Genomic
