Species,Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Canis familiaris,IFIT1,ENSCAFG00000009617,IRF3,-,9738,9755,Genomic
Canis familiaris,IFIT1,ENSCAFG00000009617,IRF7,-,9737,9750,Genomic
Canis familiaris,IFIT1,ENSCAFG00000009617,IRF7,-,10101,10114,Genomic
Canis familiaris,IFIT1,ENSCAFG00000009617,IRF7,-,18862,18875,Genomic
Canis familiaris,RSAD2,ENSCAFG00000003293,IRF3,-,286,303,Genomic
Canis familiaris,RSAD2,ENSCAFG00000003293,IRF7,-,285,298,Genomic
Canis familiaris,RSAD2,ENSCAFG00000003293,IRF9,-,285,300,Genomic
Canis familiaris,ISG15,ENSCAFG00000019348,IRF3,+,2860,2877,Genomic
Canis familiaris,ISG15,ENSCAFG00000019348,IRF3,+,2866,2883,Genomic
Canis familiaris,ISG15,ENSCAFG00000019348,IRF7,+,81845,81858,Genomic
Canis familiaris,ISG15,ENSCAFG00000019348,IRF7,-,78663,78676,Genomic
Canis familiaris,ISG15,ENSCAFG00000019348,IRF9,+,2863,2878,Genomic
Canis familiaris,IRF7,ENSCAFG00000006557,IRF3,-,27730,27747,Genomic
Canis familiaris,IRF7,ENSCAFG00000006557,IRF7,+,13607,13620,Genomic
Canis familiaris,IRF7,ENSCAFG00000006557,IRF7,-,27705,27718,Genomic
Canis familiaris,IRF7,ENSCAFG00000006557,IRF7,-,27729,27742,Genomic
Canis familiaris,IFIT3,ENSCAFG00000031614,IRF3,-,3130,3147,Genomic
Canis familiaris,IFIT3,ENSCAFG00000031614,IRF3,-,6201,6218,Genomic
Canis familiaris,IFIT3,ENSCAFG00000031614,IRF7,+,20240,20253,Genomic
Canis familiaris,IFIT3,ENSCAFG00000031614,IRF7,-,3129,3142,Genomic
Canis familiaris,IFIT3,ENSCAFG00000031614,IRF7,-,6206,6219,Genomic
Canis familiaris,CXCL10,ENSCAFG00000008584,IRF7,+,2786,2799,Genomic
Canis familiaris,ZBP1,ENSCAFG00000023783,IRF3,-,2968,2985,Genomic
Canis familiaris,ZBP1,ENSCAFG00000023783,IRF7,-,2967,2980,Genomic
Canis familiaris,IFIT2,ENSCAFG00000009612,IRF3,-,3233,3250,Genomic
Canis familiaris,IFIT2,ENSCAFT00000015279,IRF3,-,233,250,Transcript
Canis familiaris,IFIT2,ENSCAFG00000009612,IRF7,-,3232,3245,Genomic
Canis familiaris,IFIT2,ENSCAFG00000009612,IRF7,-,10956,10969,Genomic
Canis familiaris,IFIT2,ENSCAFT00000015279,IRF7,-,232,245,Transcript
Canis familiaris,IFIT2,ENSCAFG00000009612,IRF9,-,3232,3247,Genomic
Canis familiaris,IFIT2,ENSCAFT00000015279,IRF9,-,232,247,Transcript
Canis familiaris,MX2,ENSCAFG00000010167,IRF3,+,50947,50964,Genomic
Canis familiaris,MX2,ENSCAFG00000010167,IRF3,+,50953,50970,Genomic
Canis familiaris,MX2,ENSCAFG00000010167,IRF3,+,77731,77748,Genomic
Canis familiaris,MX2,ENSCAFG00000010167,IRF3,+,203769,203786,Genomic
