Species,Gene_Name,ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,MX1,ENSG00000157601,IRF3,+,1049,1059,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,+,1049,1059,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,+,37806,37816,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,16652,16662,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF9,-,16652,16662,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF7,-,717,727,Genomic
Homo sapiens,ISG15,ENSG00000187608,IRF3,+,12752,12762,Genomic
Homo sapiens,ISG15,ENSG00000187608,IRF9,+,12752,12762,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF3,-,1173,1183,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF3,-,56028,56038,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF9,-,1173,1183,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF9,-,56028,56038,Genomic
Homo sapiens,ZMYND15,ENSG00000141497,IRF3,+,311,321,Genomic
Homo sapiens,ZMYND15,ENSG00000141497,IRF9,+,311,321,Genomic
Homo sapiens,CIITA,ENSG00000179583,IRF3,+,1676,1686,Genomic
Homo sapiens,CIITA,ENSG00000179583,IRF9,+,1676,1686,Genomic
Homo sapiens,PARP14,ENSG00000173193,IRF7,+,471,481,Genomic
Homo sapiens,IRF7,ENSG00000185507,IRF7,-,780,790,Genomic
Homo sapiens,TAP1,ENSG00000168394,IRF7,-,484,494,Genomic
Homo sapiens,TRIM14,ENSG00000106785,IRF3,-,474,484,Genomic
Homo sapiens,TRIM14,ENSG00000106785,IRF9,-,474,484,Genomic
Homo sapiens,PARP12,ENSG00000059378,IRF3,-,490,500,Genomic
Homo sapiens,PARP12,ENSG00000059378,IRF9,-,490,500,Genomic
Homo sapiens,SAMHD1,ENSG00000101347,IRF3,-,1508,1518,Genomic
Homo sapiens,SAMHD1,ENSG00000101347,IRF9,-,1508,1518,Genomic
Homo sapiens,CXCL16,ENSG00000161921,IRF3,-,775,785,Genomic
Homo sapiens,CXCL16,ENSG00000161921,IRF9,-,775,785,Genomic
Homo sapiens,CXCL16,ENST00000293778,IRF9,-,275,285,Transcript
Homo sapiens,RNF213,ENSG00000173821,IRF3,-,692,702,Genomic
Homo sapiens,RNF213,ENSG00000173821,IRF9,-,692,702,Genomic
Homo sapiens,DDX60,ENSG00000137628,IRF3,+,578,588,Genomic
Homo sapiens,DDX60,ENSG00000137628,IRF9,+,578,588,Genomic
Homo sapiens,IRF1,ENSG00000125347,IRF3,+,12185,12195,Genomic
Homo sapiens,IRF1,ENSG00000125347,IRF9,+,12185,12195,Genomic
Homo sapiens,TDRD7,ENSG00000196116,IRF3,+,541,551,Genomic
Homo sapiens,TDRD7,ENSG00000196116,IRF9,+,541,551,Genomic
Homo sapiens,TDRD7,ENST00000355295,IRF9,+,41,51,Transcript
Homo sapiens,ATF3,ENSG00000162772,IRF7,+,2222,2232,Genomic
Homo sapiens,CYP2J2,ENSG00000134716,IRF7,-,20796,20806,Genomic
Homo sapiens,PSMB9,ENSG00000240065,IRF7,+,406,416,Genomic
Homo sapiens,PSMB9,ENSG00000240065,IRF7,+,10187,10197,Genomic
Homo sapiens,PSMB9,ENSG00000240065,IRF7,-,10936,10946,Genomic
Homo sapiens,MYD88,ENSG00000172936,IRF7,+,548,558,Genomic
Homo sapiens,TMEM229B,ENSG00000198133,IRF3,-,19315,19325,Genomic
Homo sapiens,TMEM229B,ENSG00000198133,IRF9,-,19315,19325,Genomic
Homo sapiens,TAP2,ENSG00000204267,IRF7,+,442,452,Genomic
Homo sapiens,SERPINB9,ENSG00000170542,IRF3,+,3967,3977,Genomic
Homo sapiens,SERPINB9,ENSG00000170542,IRF9,+,3967,3977,Genomic
Homo sapiens,ZNFX1,ENSG00000124201,IRF3,+,809,819,Genomic
Homo sapiens,ZNFX1,ENSG00000124201,IRF9,+,809,819,Genomic
Homo sapiens,C19orf66,ENSG00000130813,IRF7,+,652,662,Genomic
Homo sapiens,IRF2,ENSG00000168310,IRF3,-,25989,25999,Genomic
Homo sapiens,IRF2,ENSG00000168310,IRF7,+,84308,84318,Genomic
Homo sapiens,IRF2,ENSG00000168310,IRF9,-,25989,25999,Genomic
Homo sapiens,IFI27,ENSG00000165949,IRF3,-,6292,6302,Genomic
Homo sapiens,IFI27,ENSG00000165949,IRF9,-,6292,6302,Genomic
