Species,Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,48578,48595,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,100079,100096,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,124771,124788,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,187422,187439,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,262483,262500,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,309950,309967,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,312084,312101,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,313880,313897,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,452486,452503,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,102811,102828,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,132726,132743,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,321456,321473,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,1893,1906,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,48583,48596,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,63706,63719,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,97602,97615,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,98464,98477,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,238866,238879,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,337030,337043,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,345294,345307,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,383647,383660,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,429995,430008,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,13002,13015,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,17368,17381,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,84769,84782,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,111643,111656,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,123607,123620,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,132725,132738,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,156112,156125,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,168350,168363,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,207660,207673,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,264454,264467,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,281061,281074,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,312678,312691,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,332844,332857,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,336186,336199,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,446430,446443,Genomic
Homo sapiens,ZNF341,ENSG00000131061,IRF3,-,11614,11631,Genomic
Homo sapiens,ZNF341,ENSG00000131061,IRF7,-,51332,51345,Genomic
Homo sapiens,ZNF341,ENSG00000131061,IRF7,-,55291,55304,Genomic
Homo sapiens,SDR9C7,ENSG00000170426,IRF7,+,4129,4142,Genomic
Homo sapiens,MRC2,ENSG00000011028,IRF3,+,58068,58085,Genomic
Homo sapiens,MRC2,ENSG00000011028,IRF7,+,56279,56292,Genomic
Homo sapiens,MRC2,ENSG00000011028,IRF7,-,24925,24938,Genomic
Homo sapiens,MRC2,ENSG00000011028,IRF9,+,56277,56292,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF3,+,165364,165381,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF3,+,192179,192196,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF3,-,67427,67444,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF7,+,55886,55899,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF7,+,192184,192197,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF7,+,338988,339001,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF7,-,18793,18806,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF7,-,81870,81883,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF7,-,90050,90063,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF7,-,145027,145040,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF7,-,161454,161467,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF7,-,330752,330765,Genomic
Homo sapiens,ROBO3,ENSG00000154134,IRF3,+,71,88,Genomic
Homo sapiens,WDR78,ENSG00000152763,IRF3,+,23558,23575,Genomic
Homo sapiens,WDR78,ENSG00000152763,IRF3,+,38803,38820,Genomic
Homo sapiens,WDR78,ENSG00000152763,IRF3,+,85461,85478,Genomic
Homo sapiens,WDR78,ENSG00000152763,IRF3,+,104392,104409,Genomic
Homo sapiens,WDR78,ENSG00000152763,IRF7,+,19073,19086,Genomic
Homo sapiens,WDR78,ENSG00000152763,IRF7,+,23390,23403,Genomic
Homo sapiens,WDR78,ENSG00000152763,IRF7,+,24078,24091,Genomic
Homo sapiens,WDR78,ENSG00000152763,IRF7,+,40311,40324,Genomic
Homo sapiens,WDR78,ENSG00000152763,IRF7,+,77144,77157,Genomic
Homo sapiens,WDR78,ENSG00000152763,IRF7,+,96598,96611,Genomic
Homo sapiens,WDR78,ENSG00000152763,IRF7,-,66481,66494,Genomic
Homo sapiens,WDR78,ENSG00000152763,IRF7,-,95329,95342,Genomic
Homo sapiens,SDHC,ENSG00000143252,IRF7,+,45196,45209,Genomic
Homo sapiens,SDHC,ENSG00000143252,IRF7,-,32543,32556,Genomic
