Species,Gene_Name,ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,MX1,ENSG00000157601,IRF3,+,1920,1930,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,+,3549,3559,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,+,20114,20124,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,+,28521,28531,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,-,11238,11248,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,-,14834,14844,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,-,30720,30730,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,-,33610,33620,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,-,35888,35898,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,-,40151,40161,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,-,43998,44008,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,-,44574,44584,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,-,47808,47818,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,+,750,760,Transcript
Homo sapiens,MX1,ENSG00000157601,IRF3,+,1434,1444,Transcript
Homo sapiens,MX1,ENSG00000157601,IRF7,+,1920,1930,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,+,3549,3559,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,+,20114,20124,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,+,28521,28531,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,11238,11248,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,14834,14844,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,30720,30730,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,33610,33620,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,35888,35898,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,40151,40161,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,43998,44008,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,44574,44584,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,47808,47818,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,+,750,760,Transcript
Homo sapiens,MX1,ENSG00000157601,IRF7,+,1434,1444,Transcript
Homo sapiens,MX1,ENSG00000157601,IRF9,+,1920,1930,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,+,3549,3559,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,+,20114,20124,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,+,28521,28531,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,-,11238,11248,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,-,14834,14844,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,-,30720,30730,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,-,33610,33620,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,-,35888,35898,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,-,40151,40161,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,-,43998,44008,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,-,44574,44584,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,-,47808,47818,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,+,750,760,Transcript
Homo sapiens,MX1,ENSG00000157601,IRF9,+,1434,1444,Transcript
Homo sapiens,OASL,ENSG00000135114,IRF3,+,7407,7417,Genomic
Homo sapiens,OASL,ENSG00000135114,IRF3,+,24581,24591,Genomic
Homo sapiens,OASL,ENSG00000135114,IRF3,-,13119,13129,Genomic
Homo sapiens,OASL,ENSG00000135114,IRF3,-,18474,18484,Genomic
Homo sapiens,OASL,ENSG00000135114,IRF3,-,20402,20412,Genomic
Homo sapiens,OASL,ENSG00000135114,IRF7,+,7407,7417,Genomic
Homo sapiens,OASL,ENSG00000135114,IRF7,+,24581,24591,Genomic
Homo sapiens,OASL,ENSG00000135114,IRF7,-,13119,13129,Genomic
Homo sapiens,OASL,ENSG00000135114,IRF7,-,18474,18484,Genomic
Homo sapiens,OASL,ENSG00000135114,IRF7,-,20402,20412,Genomic
Homo sapiens,OASL,ENSG00000135114,IRF9,+,7407,7417,Genomic
Homo sapiens,OASL,ENSG00000135114,IRF9,+,24581,24591,Genomic
Homo sapiens,OASL,ENSG00000135114,IRF9,-,13119,13129,Genomic
Homo sapiens,OASL,ENSG00000135114,IRF9,-,18474,18484,Genomic
Homo sapiens,OASL,ENSG00000135114,IRF9,-,20402,20412,Genomic
Homo sapiens,GBP4,ENSG00000162654,IRF3,+,2706,2716,Genomic
Homo sapiens,GBP4,ENSG00000162654,IRF3,+,15556,15566,Genomic
Homo sapiens,GBP4,ENSG00000162654,IRF3,-,2219,2229,Genomic
Homo sapiens,GBP4,ENSG00000162654,IRF3,-,2996,3006,Genomic
Homo sapiens,GBP4,ENSG00000162654,IRF3,+,1761,1771,Transcript
Homo sapiens,GBP4,ENSG00000162654,IRF7,+,2706,2716,Genomic
Homo sapiens,GBP4,ENSG00000162654,IRF7,+,15556,15566,Genomic
Homo sapiens,GBP4,ENSG00000162654,IRF7,-,2219,2229,Genomic
Homo sapiens,GBP4,ENSG00000162654,IRF7,-,2996,3006,Genomic
Homo sapiens,GBP4,ENSG00000162654,IRF7,+,1761,1771,Transcript
Homo sapiens,GBP4,ENSG00000162654,IRF9,+,2706,2716,Genomic
Homo sapiens,GBP4,ENSG00000162654,IRF9,+,15556,15566,Genomic
Homo sapiens,GBP4,ENSG00000162654,IRF9,-,2219,2229,Genomic
Homo sapiens,GBP4,ENSG00000162654,IRF9,-,2996,3006,Genomic
Homo sapiens,GBP4,ENSG00000162654,IRF9,+,1761,1771,Transcript
Homo sapiens,CMPK2,ENSG00000134326,IRF3,+,4973,4983,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF3,+,6226,6236,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF3,+,15477,15487,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF3,-,118,128,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF3,-,1284,1294,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF3,-,1461,1471,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF3,-,15997,16007,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF7,+,4973,4983,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF7,+,6226,6236,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF7,+,15477,15487,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF7,-,118,128,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF7,-,1284,1294,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF7,-,1461,1471,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF7,-,15997,16007,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF9,+,4973,4983,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF9,+,6226,6236,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF9,+,15477,15487,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF9,-,118,128,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF9,-,1284,1294,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF9,-,1461,1471,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF9,-,15997,16007,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF3,+,3382,3392,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF3,+,3473,3483,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF3,+,11296,11306,Genomic
