Species,Gene_Name,ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,AES,ENSG00000104964,IRF3,+,3236,3246,Genomic
Homo sapiens,AES,ENSG00000104964,IRF3,-,12980,12990,Genomic
Homo sapiens,AES,ENSG00000104964,IRF3,-,15069,15079,Genomic
Homo sapiens,AES,ENSG00000104964,IRF3,-,1580,1590,Transcript
Homo sapiens,AES,ENSG00000104964,IRF7,+,3236,3246,Genomic
Homo sapiens,AES,ENSG00000104964,IRF7,-,12980,12990,Genomic
Homo sapiens,AES,ENSG00000104964,IRF7,-,15069,15079,Genomic
Homo sapiens,AES,ENSG00000104964,IRF7,-,1580,1590,Transcript
Homo sapiens,AES,ENSG00000104964,IRF9,+,3236,3246,Genomic
Homo sapiens,AES,ENSG00000104964,IRF9,-,12980,12990,Genomic
Homo sapiens,AES,ENSG00000104964,IRF9,-,15069,15079,Genomic
Homo sapiens,AES,ENSG00000104964,IRF9,-,1580,1590,Transcript
Homo sapiens,ADCY7,ENSG00000121281,IRF3,+,8118,8128,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF3,+,11358,11368,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF3,+,11610,11620,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF3,+,13594,13604,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF3,+,33856,33866,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF3,-,176,186,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF3,-,10105,10115,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF3,-,24055,24065,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF3,-,70362,70372,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF7,+,8118,8128,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF7,+,11358,11368,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF7,+,11610,11620,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF7,+,13594,13604,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF7,+,33856,33866,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF7,-,176,186,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF7,-,10105,10115,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF7,-,24055,24065,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF7,-,70362,70372,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF9,+,8118,8128,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF9,+,11358,11368,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF9,+,11610,11620,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF9,+,13594,13604,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF9,+,33856,33866,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF9,-,176,186,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF9,-,10105,10115,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF9,-,24055,24065,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF9,-,70362,70372,Genomic
Homo sapiens,TMEM109,ENSG00000110108,IRF3,+,4550,4560,Genomic
Homo sapiens,TMEM109,ENSG00000110108,IRF3,-,1698,1708,Genomic
Homo sapiens,TMEM109,ENSG00000110108,IRF7,+,4550,4560,Genomic
Homo sapiens,TMEM109,ENSG00000110108,IRF7,-,1698,1708,Genomic
Homo sapiens,TMEM109,ENSG00000110108,IRF9,+,4550,4560,Genomic
Homo sapiens,TMEM109,ENSG00000110108,IRF9,-,1698,1708,Genomic
Homo sapiens,RP11-295G20.2,ENSG00000233461,IRF3,-,8393,8403,Genomic
Homo sapiens,RP11-295G20.2,ENSG00000233461,IRF3,-,10901,10911,Genomic
Homo sapiens,RP11-295G20.2,ENSG00000233461,IRF3,-,13096,13106,Genomic
Homo sapiens,RP11-295G20.2,ENSG00000233461,IRF3,-,13266,13276,Genomic
Homo sapiens,RP11-295G20.2,ENSG00000233461,IRF7,-,8393,8403,Genomic
Homo sapiens,RP11-295G20.2,ENSG00000233461,IRF7,-,10901,10911,Genomic
Homo sapiens,RP11-295G20.2,ENSG00000233461,IRF7,-,13096,13106,Genomic
Homo sapiens,RP11-295G20.2,ENSG00000233461,IRF7,-,13266,13276,Genomic
Homo sapiens,RP11-295G20.2,ENSG00000233461,IRF9,-,8393,8403,Genomic
Homo sapiens,RP11-295G20.2,ENSG00000233461,IRF9,-,10901,10911,Genomic
Homo sapiens,RP11-295G20.2,ENSG00000233461,IRF9,-,13096,13106,Genomic
Homo sapiens,RP11-295G20.2,ENSG00000233461,IRF9,-,13266,13276,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF3,+,3052,3062,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF3,+,9664,9674,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF3,+,30858,30868,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF3,+,30948,30958,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF3,+,32415,32425,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF3,+,33795,33805,Genomic
Homo sapiens,ENPEP,ENSG00000138792,IRF3,+,53785,53795,Genomic
