Gene_Name,Gene_ID,TF,Strand,Start,End
MX1,ENSG00000157601,+,1914,1931
OASL,ENSG00000135114,+,661,678
OASL,ENSG00000135114,+,2982,2999
GBP4,ENSG00000162654,+,2150,2167
GBP4,ENSG00000162654,+,2700,2717
GBP4,ENSG00000162654,+,2738,2755
CMPK2,ENSG00000134326,+,978,995
IFI44L,ENSG00000137959,+,105,122
IFIT3,ENSG00000119917,+,787,804
IFIT3,ENSG00000119917,+,830,847
IFIT3,ENSG00000119917,+,1793,1810
IFIT3,ENSG00000119917,+,1898,1915
TNFSF10,ENSG00000121858,+,2093,2110
TNFSF10,ENSG00000121858,+,2123,2140
OAS1,ENSG00000089127,+,2113,2130
USP18,ENSG00000184979,+,221,238
USP18,ENSG00000184979,+,462,479
IFIH1,ENSG00000115267,+,374,391
IFIH1,ENSG00000115267,+,379,396
IFIH1,ENSG00000115267,+,2967,2984
IFIH1,ENSG00000115267,+,2973,2990
IFIH1,ENSG00000115267,+,2979,2996
DDX58,ENSG00000107201,+,1824,1841
DDX58,ENSG00000107201,+,2209,2226
DDX58,ENSG00000107201,+,2348,2365
DDX58,ENSG00000107201,+,2552,2569
RTP4,ENSG00000136514,+,601,618
RTP4,ENSG00000136514,+,725,742
RTP4,ENSG00000136514,+,2777,2794
RTP4,ENSG00000136514,+,2952,2969
RTP4,ENSG00000136514,+,2958,2975
RTP4,ENSG00000136514,+,2970,2987
RTP4,ENSG00000136514,+,2976,2993
ZMYND15,ENSG00000141497,+,2805,2822
CD274,ENSG00000120217,+,2047,2064
CD274,ENSG00000120217,+,2886,2903
SAMD9L,ENSG00000177409,+,1084,1101
SAMD9L,ENSG00000177409,+,1482,1499
SAMD9L,ENSG00000177409,+,2946,2963
TLR3,ENSG00000164342,+,356,373
TLR3,ENSG00000164342,+,526,543
PARP14,ENSG00000173193,+,175,192
PARP14,ENSG00000173193,+,763,780
PARP14,ENSG00000173193,+,795,812
PARP14,ENSG00000173193,+,2516,2533
PARP14,ENSG00000173193,+,2928,2945
PARP14,ENSG00000173193,+,2965,2982
XAF1,ENSG00000132530,+,1099,1116
IRF7,ENSG00000185507,+,2716,2733
IRF7,ENSG00000185507,+,2742,2759
APOL2,ENSG00000128335,+,1346,1363
APOL2,ENSG00000128335,+,1810,1827
APOL2,ENSG00000128335,+,2415,2432
SAMD9,ENSG00000205413,+,2330,2347
SAMD9,ENSG00000205413,+,2902,2919
SAMD9,ENSG00000205413,+,2908,2925
APOL3,ENSG00000128284,+,517,534
APOL3,ENSG00000128284,+,1246,1263
BST2,ENSG00000130303,+,2090,2107
BST2,ENSG00000130303,+,2864,2881
BST2,ENSG00000130303,+,2870,2887
SLFN12L,ENSG00000205045,+,275,292
SLFN12L,ENSG00000205045,+,1842,1859
SLFN12L,ENSG00000205045,+,2282,2299
SLFN12L,ENSG00000205045,+,2472,2489
TAP1,ENSG00000168394,+,2229,2246
TRIM14,ENSG00000106785,+,1037,1054
TRIM14,ENSG00000106785,+,2404,2421
PARP12,ENSG00000059378,+,573,590
WARS,ENSG00000140105,+,61,78
WARS,ENSG00000140105,+,72,89
WARS,ENSG00000140105,+,409,426
WARS,ENSG00000140105,+,696,713
SP110,ENSG00000135899,+,609,626
SP110,ENSG00000135899,+,610,627
SP110,ENSG00000135899,+,821,838
SP110,ENSG00000135899,+,850,867
SP110,ENSG00000135899,+,2765,2782
SP110,ENSG00000135899,+,2982,2999
SAMHD1,ENSG00000101347,+,278,295
GCH1,ENSG00000131979,+,927,944
CCL7,ENSG00000108688,+,52,69
CCL7,ENSG00000108688,+,1341,1358
CCL7,ENSG00000108688,+,1347,1364
CCL7,ENSG00000108688,+,1483,1500
TMEM140,ENSG00000146859,+,1638,1655
TMEM140,ENSG00000146859,+,2941,2958
DDX60,ENSG00000137628,+,454,471
PNPT1,ENSG00000138035,+,2473,2490
SOCS1,ENSG00000185338,+,362,379
SOCS1,ENSG00000185338,+,2887,2904
MLKL,ENSG00000168404,+,57,74
MLKL,ENSG00000168404,+,61,78
MLKL,ENSG00000168404,+,62,79
MLKL,ENSG00000168404,+,1608,1625
IRF1,ENSG00000125347,+,404,421
IRF1,ENSG00000125347,+,405,422
IRF1,ENSG00000125347,+,432,449
IRF1,ENSG00000125347,+,433,450
APOL1,ENSG00000100342,+,1047,1064
TDRD7,ENSG00000196116,+,996,1013
GBP2,ENSG00000162645,+,833,850
LMO2,ENSG00000135363,+,1474,1491
TRIM21,ENSG00000132109,+,306,323
TRIM21,ENSG00000132109,+,1440,1457
TRIM21,ENSG00000132109,+,1825,1842
PSMB9,ENSG00000240065,+,753,770
PSMB9,ENSG00000240065,+,759,776
PSMB9,ENSG00000240065,+,2900,2917
NMI,ENSG00000123609,+,2949,2966
PLEKHA4,ENSG00000105559,+,2160,2177
APOL4,ENSG00000100336,+,1091,1108
TAP2,ENSG00000204267,+,2936,2953
SERPINB9,ENSG00000170542,+,645,662
HLA-F,ENSG00000204642,+,1922,1939
SPTBN5,ENSG00000137877,+,792,809
GALNT3,ENSG00000115339,+,496,513
GALNT3,ENSG00000115339,+,718,735
TRIM5,ENSG00000132256,+,1153,1170
TRIM5,ENSG00000132256,+,1736,1753
ZNFX1,ENSG00000124201,+,1623,1640
SLFN13,ENSG00000154760,+,498,515
SLFN13,ENSG00000154760,+,504,521
SLFN13,ENSG00000154760,+,1737,1754
C19orf66,ENSG00000130813,+,725,742
C19orf66,ENSG00000130813,+,731,748
CCL2,ENSG00000108691,+,886,903
SLC25A28,ENSG00000155287,+,1534,1551
SLC25A28,ENSG00000155287,+,1566,1583
SLC25A28,ENSG00000155287,+,1616,1633
SLC25A28,ENSG00000155287,+,1674,1691
IRF2,ENSG00000168310,+,2745,2762
ZCCHC2,ENSG00000141664,+,391,408
IFI27,ENSG00000165949,+,2376,2393
RNF19B,ENSG00000116514,+,2276,2293
IFI16,ENSG00000163565,+,1690,1707
IFI16,ENSG00000163565,+,2415,2432
SLC6A9,ENSG00000196517,+,2289,2306
RAB20,ENSG00000139832,+,111,128
PML,ENSG00000140464,+,96,113
PML,ENSG00000140464,+,103,120
