Species,Gene_Name,ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,MFSD10,ENSG00000109736,IRF3,+,8650,8660,Genomic
Homo sapiens,MFSD10,ENSG00000109736,IRF7,+,8650,8660,Genomic
Homo sapiens,MFSD10,ENSG00000109736,IRF9,+,8650,8660,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,3948,3958,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,4394,4404,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,24289,24299,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,51084,51094,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,51245,51255,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,51721,51731,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,58832,58842,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,66207,66217,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,80855,80865,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,112985,112995,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,140605,140615,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,173223,173233,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,189888,189898,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,189928,189938,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,192002,192012,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,202719,202729,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,241367,241377,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,273307,273317,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,299545,299555,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,312456,312466,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,314590,314600,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,321479,321489,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,336940,336950,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,339531,339541,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,367237,367247,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,370203,370213,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,374164,374174,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,379279,379289,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,399984,399994,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,402579,402589,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,426226,426236,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,429565,429575,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,430946,430956,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,432496,432506,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,454986,454996,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,478109,478119,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,483403,483413,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,483748,483758,Genomic
