Species,Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,MX1,ENSG00000157601,IRF9,+,1046,1061,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF9,-,715,730,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF9,+,476,491,Genomic
Homo sapiens,ISG15,ENSG00000187608,IRF9,+,12749,12764,Genomic
Homo sapiens,RTP4,ENSG00000136514,IRF9,+,479,494,Genomic
Homo sapiens,SAMD9L,ENSG00000177409,IRF9,+,449,464,Genomic
Homo sapiens,IFI44,ENSG00000137965,IRF9,-,473,488,Genomic
Homo sapiens,PARP14,ENSG00000173193,IRF9,+,468,483,Genomic
Homo sapiens,XAF1,ENSG00000132530,IRF9,-,1066,1081,Genomic
Homo sapiens,IRF7,ENSG00000185507,IRF9,+,219,234,Genomic
Homo sapiens,SAMD9,ENSG00000205413,IRF9,+,405,420,Genomic
Homo sapiens,TRIM14,ENSG00000106785,IRF9,-,472,487,Genomic
Homo sapiens,PARP12,ENSG00000059378,IRF9,-,488,503,Genomic
Homo sapiens,PARP9,ENSG00000138496,IRF9,+,25478,25493,Genomic
Homo sapiens,PARP9,ENSG00000138496,IRF9,-,734,749,Genomic
Homo sapiens,RNF213,ENSG00000173821,IRF9,-,690,705,Genomic
Homo sapiens,DHX58,ENSG00000108771,IRF9,-,481,496,Genomic
Homo sapiens,DHX58,ENSG00000108771,IRF9,-,1007,1022,Genomic
Homo sapiens,DHX58,ENST00000251642,IRF9,-,108,123,Transcript
Homo sapiens,DDX60,ENSG00000137628,IRF9,+,575,590,Genomic
Homo sapiens,DTX3L,ENSG00000163840,IRF9,+,491,506,Genomic
Homo sapiens,PDZD2,ENSG00000133401,IRF9,-,263583,263598,Genomic
Homo sapiens,PDZD2,ENSG00000133401,IRF9,-,381961,381976,Genomic
Homo sapiens,NLRC5,ENSG00000140853,IRF9,-,566,581,Genomic
Homo sapiens,TMEM229B,ENSG00000198133,IRF9,-,19313,19328,Genomic
Homo sapiens,TAP2,ENSG00000204267,IRF9,+,439,454,Genomic
Homo sapiens,TRIM5,ENSG00000132256,IRF9,-,3107,3122,Genomic
Homo sapiens,ZNFX1,ENSG00000124201,IRF9,+,806,821,Genomic
Homo sapiens,EIF2AK2,ENSG00000055332,IRF9,+,32971,32986,Genomic
Homo sapiens,C19orf66,ENSG00000130813,IRF9,+,649,664,Genomic
Homo sapiens,PARP10,ENSG00000178685,IRF9,-,26806,26821,Genomic
Homo sapiens,SLC25A28,ENSG00000155287,IRF9,-,3844,3859,Genomic
Homo sapiens,IRF2,ENSG00000168310,IRF9,+,26244,26259,Genomic
Homo sapiens,IRF2,ENSG00000168310,IRF9,+,77667,77682,Genomic
Homo sapiens,IRF2,ENSG00000168310,IRF9,-,25987,26002,Genomic
Homo sapiens,IFI27,ENSG00000165949,IRF9,-,6290,6305,Genomic
