Species,Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,MX1,ENSG00000157601,IRF3,+,3543,3560,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,+,3549,3566,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,+,3548,3561,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,+,28520,28533,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,11236,11249,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,44572,44585,Genomic
Homo sapiens,MX1,ENST00000398598,IRF7,+,1433,1446,Transcript
Homo sapiens,MX1,ENSG00000157601,IRF9,+,3546,3561,Genomic
Homo sapiens,OASL,ENSG00000135114,IRF7,-,8218,8231,Genomic
Homo sapiens,OASL,ENSG00000135114,IRF7,-,13117,13130,Genomic
Homo sapiens,GBP4,ENSG00000162654,IRF3,-,2995,3012,Genomic
Homo sapiens,GBP4,ENSG00000162654,IRF7,+,20981,20994,Genomic
Homo sapiens,GBP4,ENSG00000162654,IRF7,-,2217,2230,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF7,+,2608,2621,Genomic
Homo sapiens,CMPK2,ENSG00000134326,IRF7,-,1459,1472,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF7,-,668,681,Genomic
Homo sapiens,IFI44L,ENSG00000137959,IRF7,-,6273,6286,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,-,8121,8138,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,-,8127,8144,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF3,-,8170,8187,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,+,19967,19980,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,+,34079,34092,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,+,40426,40439,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,-,3566,3579,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,-,8169,8182,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF9,+,12909,12924,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF9,-,8169,8184,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,2857,2874,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,2989,3006,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,3563,3580,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,5619,5636,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,19151,19168,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF7,-,18187,18200,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF3,+,21083,21100,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF3,-,12456,12473,Genomic
Homo sapiens,OAS1,ENSG00000089127,IRF7,+,21088,21101,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF3,-,3216,3233,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF3,-,30014,30031,Genomic
Homo sapiens,USP18,ENST00000215794,IRF3,-,1317,1334,Transcript
Homo sapiens,USP18,ENSG00000184979,IRF7,+,3235,3248,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF7,-,3215,3228,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF9,-,3215,3230,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,379,396,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,2973,2990,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,+,43561,43578,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF3,-,2834,2851,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,31494,31507,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,+,53441,53454,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,-,19934,19947,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,-,24124,24137,Genomic
Homo sapiens,IFIH1,ENSG00000115267,IRF7,-,24778,24791,Genomic
Homo sapiens,IFIH1,ENST00000649979,IRF7,+,3027,3040,Transcript
Homo sapiens,IFIH1,ENSG00000115267,IRF9,+,2976,2991,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF3,+,26386,26403,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF3,-,7029,7046,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF7,-,14405,14418,Genomic
Homo sapiens,GBP7,ENSG00000213512,IRF7,-,50004,50017,Genomic
Homo sapiens,GBP5,ENSG00000154451,IRF3,-,12576,12593,Genomic
Homo sapiens,GBP5,ENSG00000154451,IRF7,-,460,473,Genomic
Homo sapiens,DDX58,ENSG00000107201,IRF7,+,26809,26822,Genomic
Homo sapiens,DDX58,ENSG00000107201,IRF7,-,3001,3014,Genomic
Homo sapiens,DDX58,ENSG00000107201,IRF7,-,73660,73673,Genomic
Homo sapiens,DDX58,ENST00000379883,IRF7,-,4241,4254,Transcript
Homo sapiens,ISG15,ENSG00000187608,IRF3,+,15038,15055,Genomic
Homo sapiens,ISG15,ENSG00000187608,IRF3,+,15246,15263,Genomic
Homo sapiens,ISG15,ENSG00000187608,IRF3,+,15252,15269,Genomic
Homo sapiens,ISG15,ENSG00000187608,IRF7,+,15251,15264,Genomic
Homo sapiens,ISG15,ENSG00000187608,IRF9,+,15249,15264,Genomic
Homo sapiens,RTP4,ENSG00000136514,IRF3,+,2976,2993,Genomic
Homo sapiens,RTP4,ENSG00000136514,IRF3,-,4971,4988,Genomic
Homo sapiens,RTP4,ENSG00000136514,IRF7,+,2981,2994,Genomic
Homo sapiens,RTP4,ENSG00000136514,IRF9,+,2979,2994,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF3,+,63623,63640,Genomic
