Species,Gene_Name,ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,COL23A1,ENSG00000050767,IRF3,+,192185,192195,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF9,+,192185,192195,Genomic
Homo sapiens,STK4,ENSG00000101109,IRF7,-,59326,59336,Genomic
Homo sapiens,UBFD1,ENSG00000103353,IRF7,+,343,353,Genomic
Homo sapiens,TAF12,ENSG00000120656,IRF7,-,14888,14898,Genomic
Homo sapiens,NTNG1,ENSG00000162631,IRF7,-,26761,26771,Genomic
Homo sapiens,SUCLA2,ENSG00000136143,IRF7,-,160439,160449,Genomic
Homo sapiens,MEI1,ENSG00000167077,IRF7,-,63223,63233,Genomic
Homo sapiens,PLPP4,ENSG00000203805,IRF7,-,40520,40530,Genomic
Homo sapiens,ALG5,ENSG00000120697,IRF3,-,43236,43246,Genomic
Homo sapiens,ALG5,ENSG00000120697,IRF9,-,43236,43246,Genomic
Homo sapiens,TMED4,ENSG00000158604,IRF7,-,2825,2835,Genomic
Homo sapiens,STK32B,ENSG00000152953,IRF3,+,95318,95328,Genomic
Homo sapiens,STK32B,ENSG00000152953,IRF9,+,95318,95328,Genomic
