Species,Gene_Name,ID,Transcription_Factor,Strand,Start,End,Sequence_Type
homo_sapiens,DNAJA1,ENSG00000086061,IRF7,-,3589,3599,Genomic
homo_sapiens,MYD88,ENSG00000172936,IRF7,+,3048,3058,Genomic
homo_sapiens,KIAA1033,ENSG00000136051,IRF3,-,3957,3967,Genomic
homo_sapiens,KIAA1033,ENSG00000136051,IRF9,-,3957,3967,Genomic
homo_sapiens,MB21D1,ENSG00000164430,IRF7,-,6061,6071,Genomic
homo_sapiens,PSMB9,ENSG00000240065,IRF7,+,2906,2916,Genomic
homo_sapiens,PSMB9,ENSG00000240065,IRF7,+,12687,12697,Genomic
homo_sapiens,PSMB9,ENSG00000240065,IRF7,-,13436,13446,Genomic
homo_sapiens,VPS54,ENSG00000143952,IRF3,-,119409,119419,Genomic
homo_sapiens,VPS54,ENSG00000143952,IRF9,-,119409,119419,Genomic
homo_sapiens,PSMA3,ENSG00000100567,IRF3,+,3495,3505,Genomic
homo_sapiens,PSMA3,ENSG00000100567,IRF9,+,3495,3505,Genomic
homo_sapiens,CNDP2,ENSG00000133313,IRF3,-,33200,33210,Genomic
homo_sapiens,CNDP2,ENSG00000133313,IRF9,-,33200,33210,Genomic
homo_sapiens,STAT1,ENSG00000115415,IRF3,+,24084,24094,Genomic
homo_sapiens,STAT1,ENSG00000115415,IRF3,-,3510,3520,Genomic
homo_sapiens,STAT1,ENSG00000115415,IRF7,-,9790,9800,Genomic
homo_sapiens,STAT1,ENSG00000115415,IRF9,+,24084,24094,Genomic
homo_sapiens,STAT1,ENSG00000115415,IRF9,-,3510,3520,Genomic
homo_sapiens,CHMP5,ENSG00000086065,IRF7,+,4079,4089,Genomic
homo_sapiens,DYNC1H1,ENSG00000197102,IRF3,-,3805,3815,Genomic
homo_sapiens,DYNC1H1,ENSG00000197102,IRF9,-,3805,3815,Genomic
homo_sapiens,RNF31,ENSG00000092098,IRF7,-,2946,2956,Genomic
homo_sapiens,RP11-468E2.4,ENSG00000259529,IRF7,-,2081,2091,Genomic
homo_sapiens,TMEM63A,ENSG00000196187,IRF7,-,5007,5017,Genomic
homo_sapiens,EPSTI1,ENSG00000133106,IRF3,+,3101,3111,Genomic
homo_sapiens,EPSTI1,ENSG00000133106,IRF9,+,3101,3111,Genomic
homo_sapiens,CASP7,ENSG00000165806,IRF3,-,13073,13083,Genomic
homo_sapiens,CASP7,ENSG00000165806,IRF7,-,3726,3736,Genomic
homo_sapiens,CASP7,ENSG00000165806,IRF9,-,13073,13083,Genomic
homo_sapiens,TNFRSF1B,ENSG00000028137,IRF7,-,3004,3014,Genomic
homo_sapiens,SFMBT2,ENSG00000198879,IRF7,-,6775,6785,Genomic
homo_sapiens,C19orf66,ENSG00000130813,IRF7,+,3152,3162,Genomic
homo_sapiens,PARP12,ENSG00000059378,IRF3,-,3383,3393,Genomic
