Species,Gene_Name,ID,Transcription_Factor,Strand,Start,End,Sequence_Type
homo_sapiens,DNAJA1,ENSG00000086061,IRF7,-,1089,1099,Genomic
homo_sapiens,MYD88,ENSG00000172936,IRF7,+,548,558,Genomic
homo_sapiens,KIAA1033,ENSG00000136051,IRF3,-,1457,1467,Genomic
homo_sapiens,KIAA1033,ENSG00000136051,IRF9,-,1457,1467,Genomic
homo_sapiens,MB21D1,ENSG00000164430,IRF7,-,3561,3571,Genomic
homo_sapiens,PSMB9,ENSG00000240065,IRF7,+,406,416,Genomic
homo_sapiens,PSMB9,ENSG00000240065,IRF7,+,10187,10197,Genomic
homo_sapiens,PSMB9,ENSG00000240065,IRF7,-,10936,10946,Genomic
homo_sapiens,VPS54,ENSG00000143952,IRF3,-,116909,116919,Genomic
homo_sapiens,VPS54,ENSG00000143952,IRF9,-,116909,116919,Genomic
homo_sapiens,PSMA3,ENSG00000100567,IRF3,+,995,1005,Genomic
homo_sapiens,PSMA3,ENSG00000100567,IRF9,+,995,1005,Genomic
homo_sapiens,STAT1,ENSG00000115415,IRF3,+,21584,21594,Genomic
homo_sapiens,STAT1,ENSG00000115415,IRF3,-,1010,1020,Genomic
homo_sapiens,STAT1,ENSG00000115415,IRF7,-,7290,7300,Genomic
homo_sapiens,STAT1,ENSG00000115415,IRF9,+,21584,21594,Genomic
homo_sapiens,STAT1,ENSG00000115415,IRF9,-,1010,1020,Genomic
homo_sapiens,CHMP5,ENSG00000086065,IRF7,+,1579,1589,Genomic
homo_sapiens,DYNC1H1,ENSG00000197102,IRF3,-,1305,1315,Genomic
homo_sapiens,DYNC1H1,ENSG00000197102,IRF9,-,1305,1315,Genomic
homo_sapiens,RNF31,ENSG00000092098,IRF7,-,446,456,Genomic
homo_sapiens,TMEM63A,ENSG00000196187,IRF7,-,2507,2517,Genomic
homo_sapiens,EPSTI1,ENSG00000133106,IRF3,+,601,611,Genomic
homo_sapiens,EPSTI1,ENSG00000133106,IRF9,+,601,611,Genomic
homo_sapiens,CASP7,ENSG00000165806,IRF3,-,10573,10583,Genomic
homo_sapiens,CASP7,ENSG00000165806,IRF7,-,1226,1236,Genomic
homo_sapiens,CASP7,ENSG00000165806,IRF9,-,10573,10583,Genomic
homo_sapiens,TNFRSF1B,ENSG00000028137,IRF7,-,504,514,Genomic
homo_sapiens,SFMBT2,ENSG00000198879,IRF7,-,4275,4285,Genomic
homo_sapiens,C19orf66,ENSG00000130813,IRF7,+,652,662,Genomic
homo_sapiens,PARP12,ENSG00000059378,IRF3,-,883,893,Genomic
homo_sapiens,PARP12,ENSG00000059378,IRF9,-,883,893,Genomic
homo_sapiens,HERC6,ENSG00000138642,IRF3,-,1173,1183,Genomic
homo_sapiens,HERC6,ENSG00000138642,IRF3,-,56028,56038,Genomic
homo_sapiens,HERC6,ENSG00000138642,IRF9,-,1173,1183,Genomic
homo_sapiens,HERC6,ENSG00000138642,IRF9,-,56028,56038,Genomic
homo_sapiens,SYNJ2BP,ENSG00000213463,IRF3,+,530,540,Genomic
homo_sapiens,SYNJ2BP,ENSG00000213463,IRF9,+,530,540,Genomic
homo_sapiens,SYNJ2BP,ENST00000256366,IRF9,+,23,33,Transcript
homo_sapiens,SYNJ2BP-COX16,ENSG00000258644,IRF3,+,507,517,Genomic
homo_sapiens,SYNJ2BP-COX16,ENSG00000258644,IRF3,-,53176,53186,Genomic
