Species,Gene_Name,ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,MX1,ENSG00000157601,IRF3,+,3549,3559,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,+,3549,3559,Genomic
Homo sapiens,IFIT3,ENSG00000119917,IRF7,+,40306,40316,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF3,-,19152,19162,Genomic
Homo sapiens,TNFSF10,ENSG00000121858,IRF9,-,19152,19162,Genomic
Homo sapiens,USP18,ENSG00000184979,IRF7,-,3217,3227,Genomic
Homo sapiens,ISG15,ENSG00000187608,IRF3,+,15252,15262,Genomic
Homo sapiens,ISG15,ENSG00000187608,IRF9,+,15252,15262,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF3,-,3673,3683,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF3,-,58528,58538,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF9,-,3673,3683,Genomic
Homo sapiens,HERC6,ENSG00000138642,IRF9,-,58528,58538,Genomic
Homo sapiens,ZMYND15,ENSG00000141497,IRF3,+,2811,2821,Genomic
Homo sapiens,ZMYND15,ENSG00000141497,IRF9,+,2811,2821,Genomic
Homo sapiens,CIITA,ENSG00000179583,IRF3,+,4176,4186,Genomic
Homo sapiens,CIITA,ENSG00000179583,IRF9,+,4176,4186,Genomic
Homo sapiens,PARP14,ENSG00000173193,IRF7,+,2971,2981,Genomic
Homo sapiens,IRF7,ENSG00000185507,IRF7,-,3280,3290,Genomic
Homo sapiens,TAP1,ENSG00000168394,IRF7,+,2235,2245,Genomic
Homo sapiens,TAP1,ENSG00000168394,IRF7,-,2984,2994,Genomic
Homo sapiens,TAP1,ENSG00000168394,IRF7,-,12765,12775,Genomic
Homo sapiens,TRIM14,ENSG00000106785,IRF3,-,2974,2984,Genomic
Homo sapiens,TRIM14,ENSG00000106785,IRF9,-,2974,2984,Genomic
Homo sapiens,PARP12,ENSG00000059378,IRF3,-,2990,3000,Genomic
Homo sapiens,PARP12,ENSG00000059378,IRF9,-,2990,3000,Genomic
Homo sapiens,SAMHD1,ENSG00000101347,IRF3,-,4008,4018,Genomic
Homo sapiens,SAMHD1,ENSG00000101347,IRF9,-,4008,4018,Genomic
Homo sapiens,CXCL16,ENSG00000161921,IRF3,-,3275,3285,Genomic
Homo sapiens,CXCL16,ENSG00000161921,IRF9,-,3275,3285,Genomic
Homo sapiens,CXCL16,ENST00000293778,IRF9,-,275,285,Transcript
Homo sapiens,RNF213,ENSG00000173821,IRF3,-,3192,3202,Genomic
Homo sapiens,RNF213,ENSG00000173821,IRF9,-,3192,3202,Genomic
Homo sapiens,DDX60,ENSG00000137628,IRF3,+,3078,3088,Genomic
Homo sapiens,DDX60,ENSG00000137628,IRF9,+,3078,3088,Genomic
Homo sapiens,IRF1,ENSG00000125347,IRF3,+,14685,14695,Genomic
Homo sapiens,IRF1,ENSG00000125347,IRF9,+,14685,14695,Genomic
Homo sapiens,TDRD7,ENSG00000196116,IRF3,+,3041,3051,Genomic
Homo sapiens,TDRD7,ENSG00000196116,IRF9,+,3041,3051,Genomic
Homo sapiens,TDRD7,ENST00000355295,IRF9,+,41,51,Transcript
Homo sapiens,ATF3,ENSG00000162772,IRF7,+,4722,4732,Genomic
Homo sapiens,CYP2J2,ENSG00000134716,IRF7,-,23296,23306,Genomic
Homo sapiens,PSMB9,ENSG00000240065,IRF7,+,2906,2916,Genomic
Homo sapiens,PSMB9,ENSG00000240065,IRF7,+,12687,12697,Genomic
Homo sapiens,PSMB9,ENSG00000240065,IRF7,-,13436,13446,Genomic
Homo sapiens,MYD88,ENSG00000172936,IRF7,+,3048,3058,Genomic
Homo sapiens,TMEM229B,ENSG00000198133,IRF3,-,21815,21825,Genomic
Homo sapiens,TMEM229B,ENSG00000198133,IRF9,-,21815,21825,Genomic
Homo sapiens,TAP2,ENSG00000204267,IRF7,+,2942,2952,Genomic
Homo sapiens,SERPINB9,ENSG00000170542,IRF3,+,6467,6477,Genomic
Homo sapiens,SERPINB9,ENSG00000170542,IRF9,+,6467,6477,Genomic
Homo sapiens,ZNFX1,ENSG00000124201,IRF3,+,3309,3319,Genomic
Homo sapiens,ZNFX1,ENSG00000124201,IRF9,+,3309,3319,Genomic
Homo sapiens,C19orf66,ENSG00000130813,IRF7,+,3152,3162,Genomic
Homo sapiens,IRF2,ENSG00000168310,IRF3,-,28489,28499,Genomic
Homo sapiens,IRF2,ENSG00000168310,IRF7,+,86808,86818,Genomic
Homo sapiens,IRF2,ENSG00000168310,IRF9,-,28489,28499,Genomic
Homo sapiens,IFI27,ENSG00000165949,IRF3,-,8792,8802,Genomic
Homo sapiens,IFI27,ENSG00000165949,IRF9,-,8792,8802,Genomic
