Species,Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,1113,1126,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,1447,1460,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,1893,1906,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,2270,2283,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,2621,2634,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,3289,3302,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,21788,21801,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,21865,21878,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,22563,22576,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,22881,22894,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,47892,47905,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,48583,48596,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,48589,48602,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,48744,48757,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,49220,49233,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,49764,49777,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,53503,53516,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,54282,54295,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,56331,56344,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,57622,57635,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,59970,59983,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,63706,63719,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,68575,68588,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,69831,69844,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,75542,75555,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,76688,76701,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,79635,79648,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,82511,82524,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,83096,83109,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,94545,94558,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,97602,97615,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,98464,98477,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,102487,102500,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,104306,104319,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,107005,107018,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,124590,124603,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,124695,124708,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,124770,124783,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,124776,124789,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,125519,125532,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,127466,127479,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,127634,127647,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,129266,129279,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,130437,130450,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,138104,138117,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,143312,143325,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,149348,149361,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,156791,156804,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,157419,157432,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,181378,181391,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,181613,181626,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,181651,181664,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,182472,182485,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,187387,187400,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,189501,189514,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,194162,194175,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,195089,195102,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,201343,201356,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,202922,202935,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,206349,206362,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,216066,216079,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,228796,228809,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,236934,236947,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,238866,238879,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,240260,240273,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,250742,250755,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,255802,255815,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,256811,256824,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,257500,257513,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,262488,262501,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,264239,264252,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,268530,268543,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,268652,268665,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,270806,270819,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,271837,271850,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,272312,272325,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,272699,272712,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,274116,274129,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,281824,281837,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,281830,281843,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,288218,288231,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,296461,296474,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,305154,305167,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,308254,308267,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,309208,309221,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,309339,309352,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,312089,312102,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,318978,318991,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,323103,323116,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,323345,323358,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,328572,328585,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,334439,334452,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,335005,335018,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,337030,337043,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,341689,341702,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,345294,345307,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,346553,346566,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,347320,347333,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,348393,348406,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,350407,350420,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,351503,351516,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,353210,353223,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,359103,359116,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,359154,359167,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,362543,362556,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,364736,364749,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,366943,366956,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,367702,367715,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,371663,371676,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,372897,372910,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,375453,375466,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,376778,376791,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,376908,376921,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,379640,379653,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,383297,383310,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,383647,383660,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,391038,391051,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,391130,391143,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,393219,393232,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,394845,394858,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,395010,395023,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,400078,400091,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,400393,400406,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,406785,406798,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,406865,406878,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,409356,409369,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,419507,419520,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,422349,422362,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,426563,426576,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,429995,430008,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,430267,430280,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,438387,438400,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,442808,442821,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,442887,442900,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,442904,442917,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,450602,450615,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,452414,452427,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,453445,453458,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,454348,454361,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,454974,454987,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,455477,455490,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,464009,464022,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,465301,465314,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,471252,471265,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,475608,475621,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,480902,480915,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,481247,481260,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,481253,481266,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,482881,482894,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,488638,488651,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,489166,489179,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,493790,493803,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,500163,500176,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,2899,2912,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,6661,6674,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,8890,8903,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,10184,10197,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,10576,10589,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,10643,10656,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,10649,10662,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,10673,10686,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,11658,11671,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,13002,13015,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,17368,17381,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,21694,21707,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,23505,23518,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,24121,24134,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,24127,24140,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,24133,24146,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,24508,24521,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,24798,24811,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,27024,27037,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,28459,28472,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,29791,29804,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,32960,32973,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,34538,34551,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,35180,35193,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,38624,38637,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,39415,39428,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,39508,39521,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,40292,40305,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,41404,41417,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,44976,44989,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,46725,46738,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,65578,65591,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,69409,69422,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,73275,73288,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,73525,73538,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,75916,75929,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,82327,82340,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,84769,84782,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,84775,84788,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,93505,93518,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,93518,93531,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,94644,94657,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,96119,96132,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,96703,96716,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,96904,96917,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,98231,98244,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,99833,99846,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,99839,99852,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,101250,101263,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,102810,102823,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,102821,102834,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,111259,111272,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,111643,111656,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,113089,113102,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,115594,115607,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,117110,117123,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,123607,123620,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,124388,124401,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,125944,125957,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,131541,131554,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,132725,132738,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,132743,132756,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,137655,137668,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,148170,148183,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,150520,150533,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,154546,154559,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,156112,156125,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,157298,157311,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,158784,158797,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,159349,159362,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,160699,160712,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,161430,161443,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,168091,168104,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,168350,168363,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,169080,169093,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,169709,169722,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,175082,175095,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,176007,176020,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,176313,176326,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,189697,189710,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,195693,195706,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,196343,196356,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,198235,198248,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,200252,200265,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,201433,201446,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,204162,204175,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,204323,204336,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,205394,205407,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,207660,207673,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,216028,216041,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,217472,217485,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,218051,218064,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,220416,220429,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,221122,221135,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,222267,222280,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,223673,223686,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,224801,224814,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,225976,225989,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,225988,226001,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,226119,226132,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,227239,227252,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,231678,231691,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,232598,232611,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,234172,234185,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,234343,234356,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,239654,239667,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,240221,240234,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,242788,242801,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,245596,245609,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,247822,247835,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,256178,256191,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,256790,256803,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,259181,259194,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,259806,259819,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,261163,261176,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,261354,261367,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,261665,261678,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,263211,263224,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,264313,264326,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,264454,264467,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,266802,266815,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,267567,267580,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,268258,268271,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,271114,271127,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,273788,273801,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,279889,279902,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,281061,281074,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,281524,281537,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,284559,284572,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,289074,289087,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,294406,294419,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,295498,295511,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,295930,295943,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,298486,298499,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,300248,300261,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,301415,301428,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,312678,312691,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,318458,318471,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,319181,319194,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,320844,320857,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,321455,321468,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,328979,328992,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,328985,328998,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,331956,331969,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,332844,332857,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,336186,336199,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,343226,343239,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,347198,347211,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,354162,354175,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,354215,354228,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,367022,367035,Genomic
