Species,Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
homo_sapiens,SP110,ENSG00000135899,IRF3,+,35532,35549,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,-,34246,34263,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,+,50558,50571,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,-,17813,17826,Genomic
homo_sapiens,SP110,ENST00000258381,IRF7,+,1544,1557,Transcript
homo_sapiens,DNAJA1,ENSG00000086061,IRF3,-,3582,3599,Genomic
homo_sapiens,DNAJA1,ENSG00000086061,IRF7,-,3587,3600,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF3,+,18707,18724,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF3,-,21256,21273,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF7,-,15096,15109,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF7,-,21242,21255,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF7,-,21255,21268,Genomic
homo_sapiens,IL15RA,ENSG00000134470,IRF3,+,35401,35418,Genomic
homo_sapiens,IL15RA,ENSG00000134470,IRF3,+,35407,35424,Genomic
homo_sapiens,IL15RA,ENSG00000134470,IRF7,+,3575,3588,Genomic
homo_sapiens,IL15RA,ENSG00000134470,IRF7,+,3581,3594,Genomic
homo_sapiens,IL15RA,ENSG00000134470,IRF7,+,35406,35419,Genomic
homo_sapiens,IL15RA,ENSG00000134470,IRF7,-,4937,4950,Genomic
homo_sapiens,MYD88,ENSG00000172936,IRF7,+,3047,3060,Genomic
homo_sapiens,MAX,ENSG00000125952,IRF3,+,24120,24137,Genomic
homo_sapiens,MAX,ENSG00000125952,IRF7,+,6863,6876,Genomic
homo_sapiens,MAX,ENSG00000125952,IRF7,+,24125,24138,Genomic
homo_sapiens,MAX,ENSG00000125952,IRF7,+,47355,47368,Genomic
homo_sapiens,MAX,ENSG00000125952,IRF7,+,71647,71660,Genomic
homo_sapiens,MAX,ENSG00000125952,IRF7,-,21778,21791,Genomic
homo_sapiens,MAX,ENSG00000125952,IRF7,-,45479,45492,Genomic
homo_sapiens,MAX,ENSG00000125952,IRF7,-,52675,52688,Genomic
homo_sapiens,N4BP1,ENSG00000102921,IRF7,+,14406,14419,Genomic
homo_sapiens,N4BP1,ENSG00000102921,IRF7,+,23091,23104,Genomic
homo_sapiens,N4BP1,ENSG00000102921,IRF7,+,43820,43833,Genomic
homo_sapiens,N4BP1,ENSG00000102921,IRF7,-,29862,29875,Genomic
homo_sapiens,N4BP1,ENSG00000102921,IRF7,-,41488,41501,Genomic
homo_sapiens,KIAA1033,ENSG00000136051,IRF3,-,3950,3967,Genomic
homo_sapiens,KIAA1033,ENSG00000136051,IRF3,-,3956,3973,Genomic
homo_sapiens,KIAA1033,ENSG00000136051,IRF3,-,40138,40155,Genomic
homo_sapiens,KIAA1033,ENSG00000136051,IRF7,+,19115,19128,Genomic
homo_sapiens,KIAA1033,ENSG00000136051,IRF7,+,26228,26241,Genomic
homo_sapiens,KIAA1033,ENSG00000136051,IRF7,-,32496,32509,Genomic
homo_sapiens,MB21D1,ENSG00000164430,IRF3,-,48543,48560,Genomic
homo_sapiens,MB21D1,ENSG00000164430,IRF7,+,9565,9578,Genomic
homo_sapiens,MB21D1,ENSG00000164430,IRF7,+,52992,53005,Genomic
homo_sapiens,MB21D1,ENSG00000164430,IRF7,-,6059,6072,Genomic
homo_sapiens,MB21D1,ENSG00000164430,IRF7,-,8775,8788,Genomic
homo_sapiens,MB21D1,ENSG00000164430,IRF7,-,25514,25527,Genomic
homo_sapiens,MB21D1,ENSG00000164430,IRF7,-,34064,34077,Genomic
homo_sapiens,MB21D1,ENSG00000164430,IRF9,+,9563,9578,Genomic
homo_sapiens,MB21D1,ENSG00000164430,IRF9,+,52990,53005,Genomic
homo_sapiens,CYLD,ENSG00000083799,IRF7,+,13602,13615,Genomic
homo_sapiens,CYLD,ENSG00000083799,IRF7,-,42961,42974,Genomic
homo_sapiens,CYLD,ENSG00000083799,IRF7,-,47101,47114,Genomic
homo_sapiens,CYLD,ENSG00000083799,IRF7,-,58889,58902,Genomic
homo_sapiens,CYLD,ENST00000427738,IRF7,-,4525,4538,Transcript
homo_sapiens,TRIM38,ENSG00000112343,IRF7,+,11802,11815,Genomic
homo_sapiens,TRIM38,ENSG00000112343,IRF7,-,31878,31891,Genomic
homo_sapiens,ETV7,ENSG00000010030,IRF3,-,3006,3023,Genomic
