Species,Gene_Name,ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,1448,1458,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,1894,1904,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,21789,21799,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,48584,48594,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,48745,48755,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,49221,49231,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,56332,56342,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,63707,63717,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,78355,78365,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,110485,110495,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,138105,138115,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,170723,170733,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,187388,187398,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,187428,187438,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,189502,189512,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,200219,200229,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,238867,238877,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,270807,270817,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,297045,297055,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,309956,309966,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,312090,312100,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,318979,318989,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,334440,334450,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,337031,337041,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,364737,364747,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,367703,367713,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,371664,371674,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,376779,376789,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,397484,397494,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,400079,400089,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,423726,423736,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,427065,427075,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,428446,428456,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,429996,430006,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,452486,452496,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,475609,475619,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,480903,480913,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,481248,481258,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,6356,6366,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,10645,10655,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,39417,39427,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,40294,40304,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,40563,40573,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,77291,77301,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,84665,84675,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,84771,84781,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,102812,102822,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,111261,111271,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,111645,111655,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,117112,117122,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,122014,122024,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,123609,123619,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,132727,132737,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,156114,156124,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,161760,161770,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,168352,168362,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,169082,169092,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,169711,169721,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,176315,176325,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,198237,198247,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,204164,204174,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,204325,204335,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,221124,221134,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,225978,225988,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,227667,227677,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,231301,231311,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,234345,234355,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,252164,252174,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,263213,263223,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,264456,264466,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,266804,266814,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,275846,275856,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,279891,279901,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,300250,300260,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,312680,312690,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,316049,316059,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,321457,321467,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,330624,330634,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,332846,332856,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,336188,336198,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,346071,346081,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,347200,347210,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,365971,365981,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,367024,367034,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,368293,368303,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,371698,371708,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,372261,372271,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,400124,400134,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,412424,412434,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,426134,426144,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,446432,446442,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,456924,456934,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,457928,457938,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,467339,467349,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,479540,479550,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,495670,495680,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,565,575,Transcript
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,1448,1458,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,1894,1904,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,21789,21799,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,48584,48594,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,48745,48755,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,49221,49231,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,56332,56342,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,63707,63717,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,78355,78365,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,110485,110495,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,138105,138115,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,170723,170733,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,187388,187398,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,187428,187438,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,189502,189512,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,200219,200229,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,238867,238877,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,270807,270817,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,297045,297055,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,309956,309966,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,312090,312100,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,318979,318989,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,334440,334450,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,337031,337041,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,364737,364747,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,367703,367713,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,371664,371674,Genomic
