Gene_name,Gene_ID,Strand,Start,End
MX1,ENSG00000157601,+,1920,1930
GBP4,ENSG00000162654,+,2706,2716
GBP4,ENSG00000162654,-,2219,2229
CMPK2,ENSG00000134326,-,118,128
CMPK2,ENSG00000134326,-,1284,1294
CMPK2,ENSG00000134326,-,1461,1471
IFI44L,ENSG00000137959,-,670,680
TNFSF10,ENSG00000121858,+,2129,2139
TNFSF10,ENSG00000121858,-,1161,1171
TNFSF10,ENSG00000121858,-,2858,2868
IFIH1,ENSG00000115267,+,385,395
IFIH1,ENSG00000115267,+,1459,1469
IFIH1,ENSG00000115267,+,2979,2989
IFIH1,ENSG00000115267,-,2841,2851
GBP7,ENSG00000213512,-,1259,1269
GBP5,ENSG00000154451,-,462,472
GBP5,ENSG00000154451,-,1380,1390
DDX58,ENSG00000107201,+,1276,1286
DDX58,ENSG00000107201,+,2348,2358
RTP4,ENSG00000136514,+,2958,2968
RTP4,ENSG00000136514,+,2982,2992
ZMYND15,ENSG00000141497,+,2811,2821
CD274,ENSG00000120217,-,2831,2841
IFI44,ENSG00000137965,-,2975,2985
TLR3,ENSG00000164342,-,2455,2465
CIITA,ENSG00000179583,+,1757,1767
ISG20,ENSG00000172183,-,321,331
ISG20,ENSG00000172183,-,1692,1702
PARP14,ENSG00000173193,+,2971,2981
XAF1,ENSG00000132530,-,1715,1725
SAMD9,ENSG00000205413,+,2908,2918
IL15RA,ENSG00000134470,-,2667,2677
BST2,ENSG00000130303,+,2870,2880
SLFN12L,ENSG00000205045,+,281,291
SLFN12L,ENSG00000205045,+,2879,2889
TAP1,ENSG00000168394,+,2235,2245
TAP1,ENSG00000168394,-,2978,2988
TRIM14,ENSG00000106785,-,1253,1263
TRIM14,ENSG00000106785,-,2974,2984
PARP12,ENSG00000059378,-,2990,3000
SP110,ENSG00000135899,+,615,625
RNF213,ENSG00000173821,+,2162,2172
DHX58,ENSG00000108771,-,2983,2993
CCL7,ENSG00000108688,+,1353,1363
TMEM140,ENSG00000146859,+,301,311
TMEM140,ENSG00000146859,+,1644,1654
TMEM140,ENSG00000146859,+,2947,2957
SOCS1,ENSG00000185338,+,362,372
SOCS1,ENSG00000185338,+,2887,2897
SOCS1,ENSG00000185338,-,307,317
MLKL,ENSG00000168404,+,67,77
APOL1,ENSG00000100342,-,67,77
LMO2,ENSG00000135363,+,1165,1175
LMO2,ENSG00000135363,+,1229,1239
CYP2J2,ENSG00000134716,-,2571,2581
PSMB9,ENSG00000240065,+,2906,2916
NMI,ENSG00000123609,+,2955,2965
PLEKHA4,ENSG00000105559,-,1079,1089
TRIM69,ENSG00000185880,+,2856,2866
TAP2,ENSG00000204267,+,2942,2952
SPTBN5,ENSG00000137877,+,798,808
GALNT3,ENSG00000115339,-,2649,2659
TRIM5,ENSG00000132256,+,175,185
TRIM5,ENSG00000132256,+,1742,1752
SLFN13,ENSG00000154760,+,504,514
SLFN13,ENSG00000154760,+,1743,1753
C19orf66,ENSG00000130813,-,1522,1532
PARP10,ENSG00000178685,-,1418,1428
PARP10,ENSG00000178685,-,1428,1438
SLC25A28,ENSG00000155287,+,1540,1550
SLC25A28,ENSG00000155287,+,1572,1582
IRF2,ENSG00000168310,+,2751,2761
IFI27,ENSG00000165949,-,2979,2989
RNF19B,ENSG00000116514,+,2282,2292
RNF19B,ENSG00000116514,-,1347,1357
SLC2A12,ENSG00000146411,+,2983,2993
SLC2A12,ENSG00000146411,-,1,11
RAB20,ENSG00000139832,-,2796,2806
PML,ENSG00000140464,+,102,112
PML,ENSG00000140464,-,2580,2590
