Species,Gene_Name,ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,AES,ENSG00000104964,IRF3,+,736,746,Genomic
Homo sapiens,AES,ENSG00000104964,IRF3,-,10480,10490,Genomic
Homo sapiens,AES,ENSG00000104964,IRF3,-,1580,1590,Transcript
Homo sapiens,AES,ENSG00000104964,IRF7,+,736,746,Genomic
Homo sapiens,AES,ENSG00000104964,IRF7,-,10480,10490,Genomic
Homo sapiens,AES,ENSG00000104964,IRF7,-,1580,1590,Transcript
Homo sapiens,AES,ENSG00000104964,IRF9,+,736,746,Genomic
Homo sapiens,AES,ENSG00000104964,IRF9,-,10480,10490,Genomic
Homo sapiens,AES,ENSG00000104964,IRF9,-,1580,1590,Transcript
Homo sapiens,ADCY7,ENSG00000121281,IRF3,+,5618,5628,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF3,+,8858,8868,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF3,+,9110,9120,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF3,+,11094,11104,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF3,+,31356,31366,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF3,-,7605,7615,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF3,-,21555,21565,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF3,-,67862,67872,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF7,+,5618,5628,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF7,+,8858,8868,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF7,+,9110,9120,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF7,+,11094,11104,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF7,+,31356,31366,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF7,-,7605,7615,Genomic
Homo sapiens,ADCY7,ENSG00000121281,IRF7,-,21555,21565,Genomic
