Species,Gene_Name,ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Canis familiaris,IRF7,ENSCAFG00000006557,IRF7,-,27707,27717,Genomic
Canis familiaris,IRF7,ENSCAFG00000006557,IRF7,-,27731,27741,Genomic
Canis familiaris,CXCL10,ENSCAFG00000008584,IRF7,+,2787,2797,Genomic
Canis familiaris,MB21D1,ENSCAFG00000024087,IRF3,+,20833,20843,Genomic
Canis familiaris,MB21D1,ENSCAFG00000024087,IRF9,+,20833,20843,Genomic
Canis familiaris,MB21D1,ENSCAFT00000092451,IRF9,+,1246,1256,Transcript
Canis familiaris,RTP4,ENSCAFG00000013889,IRF3,+,2974,2984,Genomic
Canis familiaris,RTP4,ENSCAFG00000013889,IRF9,+,2974,2984,Genomic
Canis familiaris,SOCS1,ENSCAFG00000018916,IRF3,+,2245,2255,Genomic
Canis familiaris,SOCS1,ENSCAFG00000018916,IRF9,+,2245,2255,Genomic
Canis familiaris,PARP14,ENSCAFG00000011970,IRF3,+,3089,3099,Genomic
Canis familiaris,PARP14,ENSCAFG00000011970,IRF9,+,3089,3099,Genomic
Canis familiaris,PARP14,ENSCAFT00000043176,IRF9,+,89,99,Transcript
Canis familiaris,HERC6,ENSCAFG00000009781,IRF3,-,3398,3408,Genomic
Canis familiaris,HERC6,ENSCAFG00000009781,IRF3,-,3423,3433,Genomic
Canis familiaris,HERC6,ENSCAFG00000009781,IRF9,-,3398,3408,Genomic
Canis familiaris,HERC6,ENSCAFG00000009781,IRF9,-,3423,3433,Genomic
Canis familiaris,TRANK1,ENSCAFG00000004776,IRF7,-,14157,14167,Genomic
Canis familiaris,TDRD7,ENSCAFG00000002416,IRF3,+,2973,2983,Genomic
Canis familiaris,TDRD7,ENSCAFG00000002416,IRF9,+,2973,2983,Genomic
Canis familiaris,OAS2,ENSCAFG00000023107,IRF3,-,2870,2880,Genomic
Canis familiaris,OAS2,ENSCAFG00000023107,IRF9,-,2870,2880,Genomic
Canis familiaris,EIF2AK2,ENSCAFG00000006051,IRF3,+,2973,2983,Genomic
Canis familiaris,EIF2AK2,ENSCAFG00000006051,IRF9,+,2973,2983,Genomic
Canis familiaris,PSMB9,ENSCAFG00000030725,IRF3,+,2722,2732,Genomic
Canis familiaris,PSMB9,ENSCAFG00000030725,IRF7,-,3442,3452,Genomic
Canis familiaris,PSMB9,ENSCAFG00000030725,IRF9,+,2722,2732,Genomic
Canis familiaris,ZC3HAV1,ENSCAFG00000004102,IRF7,+,2838,2848,Genomic
Canis familiaris,TEX14,ENSCAFG00000017556,IRF3,-,31657,31667,Genomic
Canis familiaris,TEX14,ENSCAFG00000017556,IRF9,-,31657,31667,Genomic
Canis familiaris,PARP12,ENSCAFG00000003997,IRF7,-,3720,3730,Genomic
Canis familiaris,PARP15,ENSCAFG00000011953,IRF3,-,1005,1015,Genomic
Canis familiaris,PARP15,ENSCAFG00000011953,IRF9,-,1005,1015,Genomic
Canis familiaris,GSDMD,ENSCAFG00000001301,IRF3,+,2939,2949,Genomic
Canis familiaris,GSDMD,ENSCAFG00000001301,IRF9,+,2939,2949,Genomic
Canis familiaris,ERAP2,ENSCAFG00000024646,IRF3,-,10790,10800,Genomic
Canis familiaris,ERAP2,ENSCAFG00000024646,IRF9,-,10790,10800,Genomic
Canis familiaris,UBE2L6,ENSCAFG00000007839,IRF3,-,3327,3337,Genomic
Canis familiaris,UBE2L6,ENSCAFG00000007839,IRF9,-,3327,3337,Genomic
Canis familiaris,EBF3,ENSCAFG00000013267,IRF7,+,363,373,Genomic
Canis familiaris,TAP1,ENSCAFG00000000832,IRF3,-,2991,3001,Genomic
Canis familiaris,TAP1,ENSCAFG00000000832,IRF7,+,2271,2281,Genomic
Canis familiaris,TAP1,ENSCAFG00000000832,IRF7,-,12407,12417,Genomic
Canis familiaris,TAP1,ENSCAFG00000000832,IRF9,-,2991,3001,Genomic
Canis familiaris,STAT1,ENSCAFG00000009797,IRF7,-,84195,84205,Genomic
Canis familiaris,CD274,ENSCAFG00000002120,IRF3,-,2667,2677,Genomic
Canis familiaris,CD274,ENSCAFG00000002120,IRF9,-,2667,2677,Genomic
Canis familiaris,TRIM25,ENSCAFG00000017390,IRF7,+,13623,13633,Genomic
Canis familiaris,TRIM25,ENSCAFG00000017390,IRF7,+,18980,18990,Genomic
Canis familiaris,PSMB10,ENSCAFG00000020333,IRF7,+,2997,3007,Genomic
