Species,Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,MFSD10,ENSG00000109736,IRF7,+,7900,7913,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,51078,51095,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,264983,265000,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,312450,312467,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,314584,314601,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,+,316380,316397,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF3,-,105311,105328,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,1761,1774,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,4393,4406,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,51083,51096,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,100964,100977,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,241366,241379,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,339530,339543,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,+,432495,432508,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,87269,87282,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,114143,114156,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,158612,158625,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,170850,170863,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,210160,210173,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,315178,315191,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,335344,335357,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,338686,338699,Genomic
Homo sapiens,KCNAB1,ENSG00000169282,IRF7,-,448930,448943,Genomic
Homo sapiens,ZNF341,ENSG00000131061,IRF3,-,14114,14131,Genomic
Homo sapiens,ZNF341,ENSG00000131061,IRF7,+,268,281,Genomic
Homo sapiens,ZNF341,ENSG00000131061,IRF7,-,57791,57804,Genomic
Homo sapiens,SDR9C7,ENSG00000170426,IRF7,+,6629,6642,Genomic
Homo sapiens,MRC2,ENSG00000011028,IRF7,+,58779,58792,Genomic
Homo sapiens,MRC2,ENSG00000011028,IRF9,+,58777,58792,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF3,+,167864,167881,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF3,+,194679,194696,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF7,+,58386,58399,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF7,+,194684,194697,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF7,+,341488,341501,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF7,-,1368,1381,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF7,-,84370,84383,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF7,-,92550,92563,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF7,-,163954,163967,Genomic
Homo sapiens,COL23A1,ENSG00000050767,IRF7,-,333252,333265,Genomic
Homo sapiens,WDR78,ENSG00000152763,IRF3,+,41303,41320,Genomic
Homo sapiens,WDR78,ENSG00000152763,IRF3,+,87961,87978,Genomic
Homo sapiens,WDR78,ENSG00000152763,IRF3,+,106892,106909,Genomic
Homo sapiens,WDR78,ENSG00000152763,IRF7,+,25890,25903,Genomic
Homo sapiens,WDR78,ENSG00000152763,IRF7,+,42811,42824,Genomic
Homo sapiens,WDR78,ENSG00000152763,IRF7,+,99098,99111,Genomic
Homo sapiens,WDR78,ENSG00000152763,IRF7,-,97829,97842,Genomic
Homo sapiens,SDHC,ENSG00000143252,IRF7,+,47696,47709,Genomic
Homo sapiens,SDHC,ENSG00000143252,IRF7,-,35043,35056,Genomic
Homo sapiens,SDHC,ENSG00000143252,IRF9,-,35043,35058,Genomic
Homo sapiens,ENG,ENSG00000106991,IRF7,+,23720,23733,Genomic
Homo sapiens,ENG,ENSG00000106991,IRF7,+,25036,25049,Genomic
Homo sapiens,ENG,ENSG00000106991,IRF7,-,5869,5882,Genomic
Homo sapiens,HOOK3,ENSG00000168172,IRF7,+,7722,7735,Genomic
Homo sapiens,HOOK3,ENSG00000168172,IRF7,-,7611,7624,Genomic
Homo sapiens,HOOK3,ENSG00000168172,IRF7,-,21249,21262,Genomic
Homo sapiens,HOOK3,ENSG00000168172,IRF7,-,76688,76701,Genomic
Homo sapiens,HOOK3,ENSG00000168172,IRF7,-,99539,99552,Genomic
Homo sapiens,HOOK3,ENSG00000168172,IRF7,-,127242,127255,Genomic
Homo sapiens,HOOK3,ENST00000307602,IRF7,-,5000,5013,Transcript
Homo sapiens,ABCC6,ENSG00000091262,IRF7,-,28162,28175,Genomic
Homo sapiens,STRAP,ENSG00000023734,IRF3,+,19216,19233,Genomic
Homo sapiens,STRAP,ENSG00000023734,IRF3,-,13848,13865,Genomic
Homo sapiens,STRAP,ENSG00000023734,IRF3,-,19183,19200,Genomic
Homo sapiens,STRAP,ENSG00000023734,IRF7,+,11813,11826,Genomic
Homo sapiens,STRAP,ENSG00000023734,IRF7,-,16125,16138,Genomic
Homo sapiens,RNF6,ENSG00000127870,IRF3,-,20762,20779,Genomic
Homo sapiens,RNF6,ENSG00000127870,IRF3,-,57824,57841,Genomic
Homo sapiens,RNF6,ENSG00000127870,IRF7,-,9869,9882,Genomic
Homo sapiens,RNF6,ENSG00000127870,IRF7,-,83445,83458,Genomic
Homo sapiens,RNF6,ENST00000381588,IRF7,-,849,862,Transcript
Homo sapiens,RNF6,ENSG00000127870,IRF9,-,9869,9884,Genomic
Homo sapiens,RNF6,ENST00000381588,IRF9,-,849,864,Transcript
Homo sapiens,UPF3A,ENSG00000169062,IRF3,+,12552,12569,Genomic
Homo sapiens,UPF3A,ENSG00000169062,IRF7,+,430,443,Genomic
Homo sapiens,UPF3A,ENSG00000169062,IRF7,+,12557,12570,Genomic
Homo sapiens,UPF3A,ENSG00000169062,IRF7,-,13520,13533,Genomic
Homo sapiens,HLF,ENSG00000108924,IRF3,-,58672,58689,Genomic
Homo sapiens,HLF,ENSG00000108924,IRF7,+,28929,28942,Genomic
Homo sapiens,HLF,ENSG00000108924,IRF7,-,59471,59484,Genomic
Homo sapiens,HLF,ENST00000226067,IRF7,-,1964,1977,Transcript
Homo sapiens,STK4,ENSG00000101109,IRF3,+,36960,36977,Genomic
Homo sapiens,STK4,ENSG00000101109,IRF3,-,27971,27988,Genomic
Homo sapiens,STK4,ENST00000372806,IRF3,+,950,967,Transcript
Homo sapiens,STK4,ENSG00000101109,IRF7,+,50634,50647,Genomic
Homo sapiens,STK4,ENSG00000101109,IRF7,+,86332,86345,Genomic
Homo sapiens,STK4,ENSG00000101109,IRF7,-,27970,27983,Genomic
Homo sapiens,STK4,ENSG00000101109,IRF7,-,43513,43526,Genomic
Homo sapiens,STK4,ENSG00000101109,IRF7,-,58087,58100,Genomic
Homo sapiens,STK4,ENSG00000101109,IRF7,-,58245,58258,Genomic
Homo sapiens,STK4,ENSG00000101109,IRF7,-,61824,61837,Genomic
Homo sapiens,MRO,ENSG00000134042,IRF3,-,1442,1459,Genomic
Homo sapiens,COX7A2L,ENSG00000115944,IRF7,-,60930,60943,Genomic
Homo sapiens,COX7A2L,ENSG00000115944,IRF9,-,60930,60945,Genomic
Homo sapiens,SF3A3,ENSG00000183431,IRF7,-,12658,12671,Genomic
Homo sapiens,SF3A3,ENSG00000183431,IRF9,-,12658,12673,Genomic
Homo sapiens,TMEM178A,ENSG00000152154,IRF7,+,28950,28963,Genomic
Homo sapiens,TMEM178A,ENSG00000152154,IRF7,+,31144,31157,Genomic
Homo sapiens,TMEM178A,ENSG00000152154,IRF7,-,43797,43810,Genomic
Homo sapiens,UBFD1,ENSG00000103353,IRF7,+,2842,2855,Genomic
Homo sapiens,TAF12,ENSG00000120656,IRF7,-,17386,17399,Genomic
Homo sapiens,TAF12,ENSG00000120656,IRF7,-,41419,41432,Genomic
Homo sapiens,TAF12,ENSG00000120656,IRF9,-,17386,17401,Genomic
Homo sapiens,NTNG1,ENSG00000162631,IRF3,+,5025,5042,Genomic
Homo sapiens,NTNG1,ENSG00000162631,IRF3,+,314925,314942,Genomic
Homo sapiens,NTNG1,ENSG00000162631,IRF3,-,29260,29277,Genomic
Homo sapiens,NTNG1,ENSG00000162631,IRF3,-,136855,136872,Genomic
Homo sapiens,NTNG1,ENSG00000162631,IRF3,-,245740,245757,Genomic
Homo sapiens,NTNG1,ENSG00000162631,IRF3,-,275646,275663,Genomic
Homo sapiens,NTNG1,ENSG00000162631,IRF3,-,289355,289372,Genomic
Homo sapiens,NTNG1,ENSG00000162631,IRF7,+,11768,11781,Genomic
Homo sapiens,NTNG1,ENSG00000162631,IRF7,+,271095,271108,Genomic
Homo sapiens,NTNG1,ENSG00000162631,IRF7,-,31247,31260,Genomic
Homo sapiens,NTNG1,ENSG00000162631,IRF7,-,53189,53202,Genomic
Homo sapiens,NTNG1,ENSG00000162631,IRF7,-,71573,71586,Genomic
Homo sapiens,NTNG1,ENSG00000162631,IRF7,-,76074,76087,Genomic
Homo sapiens,NTNG1,ENSG00000162631,IRF7,-,86165,86178,Genomic
Homo sapiens,NTNG1,ENSG00000162631,IRF7,-,136854,136867,Genomic
Homo sapiens,NTNG1,ENSG00000162631,IRF7,-,164769,164782,Genomic
Homo sapiens,NTNG1,ENSG00000162631,IRF7,-,218045,218058,Genomic
Homo sapiens,NTNG1,ENST00000370068,IRF7,+,808,821,Transcript
Homo sapiens,NTNG1,ENSG00000162631,IRF9,-,80485,80500,Genomic
Homo sapiens,NTNG1,ENSG00000162631,IRF9,-,325193,325208,Genomic
Homo sapiens,KCNE3,ENSG00000175538,IRF3,-,7959,7976,Genomic
Homo sapiens,WDR34,ENSG00000119333,IRF7,-,6936,6949,Genomic
Homo sapiens,WDR34,ENSG00000119333,IRF9,-,6936,6951,Genomic
Homo sapiens,RWDD3,ENSG00000122481,IRF7,+,2035,2048,Genomic
Homo sapiens,CPNE2,ENSG00000140848,IRF3,+,58595,58612,Genomic
Homo sapiens,CPNE2,ENSG00000140848,IRF3,+,58601,58618,Genomic
Homo sapiens,CPNE2,ENST00000290776,IRF3,+,2409,2426,Transcript
Homo sapiens,CPNE2,ENST00000290776,IRF3,+,2415,2432,Transcript
Homo sapiens,CPNE2,ENSG00000140848,IRF7,+,58606,58619,Genomic
Homo sapiens,CPNE2,ENST00000290776,IRF7,+,2420,2433,Transcript
Homo sapiens,EDAR,ENSG00000135960,IRF3,+,22782,22799,Genomic
Homo sapiens,EDAR,ENSG00000135960,IRF3,-,17589,17606,Genomic
Homo sapiens,EDAR,ENSG00000135960,IRF3,-,17595,17612,Genomic
Homo sapiens,EDAR,ENSG00000135960,IRF7,+,60615,60628,Genomic
Homo sapiens,EDAR,ENSG00000135960,IRF7,-,17588,17601,Genomic
Homo sapiens,EDAR,ENSG00000135960,IRF7,-,17594,17607,Genomic
Homo sapiens,EDAR,ENSG00000135960,IRF7,-,36908,36921,Genomic
Homo sapiens,EDAR,ENSG00000135960,IRF9,-,17588,17603,Genomic
Homo sapiens,EDAR,ENSG00000135960,IRF9,-,17594,17609,Genomic
Homo sapiens,HHIP,ENSG00000164161,IRF7,-,64580,64593,Genomic
Homo sapiens,SUCLA2,ENSG00000136143,IRF3,-,153210,153227,Genomic
Homo sapiens,SUCLA2,ENSG00000136143,IRF3,-,177194,177211,Genomic
Homo sapiens,SUCLA2,ENSG00000136143,IRF7,+,95252,95265,Genomic
Homo sapiens,SUCLA2,ENSG00000136143,IRF7,+,136888,136901,Genomic
Homo sapiens,SUCLA2,ENSG00000136143,IRF7,+,204743,204756,Genomic
Homo sapiens,SUCLA2,ENSG00000136143,IRF7,-,48574,48587,Genomic
Homo sapiens,SUCLA2,ENSG00000136143,IRF7,-,63135,63148,Genomic
Homo sapiens,SUCLA2,ENSG00000136143,IRF7,-,162937,162950,Genomic
Homo sapiens,SUCLA2,ENSG00000136143,IRF7,-,230638,230651,Genomic
Homo sapiens,SUCLA2,ENSG00000136143,IRF7,-,260860,260873,Genomic
Homo sapiens,SUCLA2,ENSG00000136143,IRF7,-,280567,280580,Genomic
Homo sapiens,SUCLA2,ENSG00000136143,IRF7,-,281681,281694,Genomic
Homo sapiens,CCDC173,ENSG00000154479,IRF7,+,26991,27004,Genomic
Homo sapiens,MEI1,ENSG00000167077,IRF3,+,5394,5411,Genomic
Homo sapiens,MEI1,ENSG00000167077,IRF7,+,5399,5412,Genomic
Homo sapiens,MEI1,ENSG00000167077,IRF7,+,93100,93113,Genomic
Homo sapiens,MEI1,ENSG00000167077,IRF7,-,26493,26506,Genomic
Homo sapiens,MEI1,ENSG00000167077,IRF7,-,66184,66197,Genomic
Homo sapiens,RBMX2,ENSG00000134597,IRF7,-,10450,10463,Genomic
