Species,Gene_Name,ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,DDO,ENSG00000203797,IRF7,-,3289,3299,Genomic
Homo sapiens,DDO,ENSG00000203797,IRF7,-,16149,16159,Genomic
Homo sapiens,PIP4K2A,ENSG00000150867,IRF7,-,105700,105710,Genomic
Homo sapiens,RP11-148B18.4,ENSG00000236098,IRF3,-,71968,71978,Genomic
Homo sapiens,RP11-148B18.4,ENSG00000236098,IRF9,-,71968,71978,Genomic
Homo sapiens,NCKAP5,ENSG00000176771,IRF3,-,473321,473331,Genomic
Homo sapiens,NCKAP5,ENSG00000176771,IRF9,-,473321,473331,Genomic
Homo sapiens,HLA-F-AS1,ENSG00000214922,IRF3,-,59346,59356,Genomic
Homo sapiens,HLA-F-AS1,ENSG00000214922,IRF9,-,59346,59356,Genomic
Homo sapiens,IL20RB,ENSG00000174564,IRF7,-,62369,62379,Genomic
Homo sapiens,KDSR,ENSG00000119537,IRF3,-,39254,39264,Genomic
Homo sapiens,KDSR,ENSG00000119537,IRF9,-,39254,39264,Genomic
Homo sapiens,KDSR,ENST00000645214,IRF9,-,1507,1517,Transcript
Homo sapiens,H3F3B,ENSG00000132475,IRF3,+,5616,5626,Genomic
Homo sapiens,H3F3B,ENSG00000132475,IRF9,+,5616,5626,Genomic
Homo sapiens,ALMS1,ENSG00000116127,IRF3,-,21760,21770,Genomic
Homo sapiens,ALMS1,ENSG00000116127,IRF3,-,213007,213017,Genomic
Homo sapiens,ALMS1,ENSG00000116127,IRF9,-,21760,21770,Genomic
Homo sapiens,ALMS1,ENSG00000116127,IRF9,-,213007,213017,Genomic
Homo sapiens,RP11-875O11.1,ENSG00000245025,IRF3,-,3961,3971,Genomic
Homo sapiens,RP11-875O11.1,ENSG00000245025,IRF9,-,3961,3971,Genomic
Homo sapiens,AKT3,ENSG00000117020,IRF3,+,320974,320984,Genomic
Homo sapiens,AKT3,ENSG00000117020,IRF7,+,63507,63517,Genomic
Homo sapiens,AKT3,ENSG00000117020,IRF9,+,320974,320984,Genomic
Homo sapiens,EXOC2,ENSG00000112685,IRF3,-,99107,99117,Genomic
Homo sapiens,EXOC2,ENSG00000112685,IRF9,-,99107,99117,Genomic
Homo sapiens,C5orf56,ENSG00000197536,IRF7,-,3254,3264,Genomic
Homo sapiens,HOXD-AS2,ENSG00000237380,IRF3,-,4143,4153,Genomic
Homo sapiens,HOXD-AS2,ENSG00000237380,IRF9,-,4143,4153,Genomic
Homo sapiens,AC025171.1,ENSG00000215068,IRF3,+,117,127,Genomic
Homo sapiens,AC025171.1,ENSG00000215068,IRF3,+,2324,2334,Genomic
Homo sapiens,AC025171.1,ENSG00000215068,IRF9,+,117,127,Genomic
Homo sapiens,AC025171.1,ENSG00000215068,IRF9,+,2324,2334,Genomic
Homo sapiens,GRIP2,ENSG00000144596,IRF3,-,72404,72414,Genomic
Homo sapiens,GRIP2,ENSG00000144596,IRF9,-,72404,72414,Genomic
Homo sapiens,RP11-609L23.2,ENSG00000257405,IRF3,+,4171,4181,Genomic
Homo sapiens,RP11-609L23.2,ENSG00000257405,IRF9,+,4171,4181,Genomic
Homo sapiens,HDX,ENSG00000165259,IRF3,-,3654,3664,Genomic
Homo sapiens,HDX,ENSG00000165259,IRF9,-,3654,3664,Genomic
Homo sapiens,CTC-479C5.12,ENSG00000261884,IRF7,+,2146,2156,Genomic
Homo sapiens,PARK2,ENSG00000185345,IRF3,+,313037,313047,Genomic
Homo sapiens,PARK2,ENSG00000185345,IRF3,+,896923,896933,Genomic
Homo sapiens,PARK2,ENSG00000185345,IRF7,+,1330265,1330275,Genomic
Homo sapiens,PARK2,ENSG00000185345,IRF9,+,313037,313047,Genomic
Homo sapiens,PARK2,ENSG00000185345,IRF9,+,896923,896933,Genomic
Homo sapiens,TRIM44,ENSG00000166326,IRF3,-,64656,64666,Genomic
Homo sapiens,TRIM44,ENSG00000166326,IRF9,-,64656,64666,Genomic
Homo sapiens,EXOC3L1,ENSG00000179044,IRF3,+,7497,7507,Genomic
Homo sapiens,EXOC3L1,ENSG00000179044,IRF9,+,7497,7507,Genomic
