Gene_Name,Gene_ID,TF,Strand,Start,End
MFSD10,ENSG00000109736,+,1182,1199
MFSD10,ENSG00000109736,-,87,104
KCNAB1,ENSG00000169282,+,293,310
KCNAB1,ENSG00000169282,+,2636,2653
KCNAB1,ENSG00000169282,-,575,592
KCNAB1,ENSG00000169282,-,2187,2204
ZNF341,ENSG00000131061,-,1231,1248
ZNF341,ENSG00000131061,-,1232,1249
ZNF341,ENSG00000131061,-,1268,1285
SFXN4,ENSG00000183605,+,1148,1165
SDR9C7,ENSG00000170426,+,951,968
SDR9C7,ENSG00000170426,-,2086,2103
MRC2,ENSG00000011028,+,1693,1710
COL23A1,ENSG00000050767,-,1369,1386
COL23A1,ENSG00000050767,-,2368,2385
ROBO3,ENSG00000154134,+,502,519
ROBO3,ENSG00000154134,+,2565,2582
ROBO3,ENSG00000154134,+,2571,2588
ROBO3,ENSG00000154134,-,2121,2138
ROBO3,ENSG00000154134,-,2248,2265
WDR78,ENSG00000152763,+,1742,1759
WDR78,ENSG00000152763,-,190,207
WDR78,ENSG00000152763,-,1303,1320
SPINT1,ENSG00000166145,+,1813,1830
SDHC,ENSG00000143252,+,1645,1662
SDHC,ENSG00000143252,+,1651,1668
SDHC,ENSG00000143252,+,1652,1669
SDHC,ENSG00000143252,+,1657,1674
SDHC,ENSG00000143252,+,1658,1675
SDHC,ENSG00000143252,+,1665,1682
ENG,ENSG00000106991,-,2123,2140
ENG,ENSG00000106991,-,2715,2732
STRAP,ENSG00000023734,-,187,204
STRAP,ENSG00000023734,-,193,210
RNF6,ENSG00000127870,-,90,107
RNF6,ENSG00000127870,-,1995,2012
RNF6,ENSG00000127870,-,2001,2018
KANK3,ENSG00000186994,+,1315,1332
KANK3,ENSG00000186994,+,1316,1333
KANK3,ENSG00000186994,+,2507,2524
KANK3,ENSG00000186994,-,1935,1952
UPF3A,ENSG00000169062,+,2293,2310
HLF,ENSG00000108924,+,555,572
HLF,ENSG00000108924,-,501,518
HLF,ENSG00000108924,-,2343,2360
HLF,ENSG00000108924,-,2761,2778
STK4,ENSG00000101109,+,1063,1080
STK4,ENSG00000101109,+,2975,2992
STK4,ENSG00000101109,-,985,1002
ZWILCH,ENSG00000174442,-,2105,2122
MRO,ENSG00000134042,+,300,317
MRO,ENSG00000134042,-,1442,1459
COX7A2L,ENSG00000115944,+,297,314
COX7A2L,ENSG00000115944,-,1279,1296
COX7A2L,ENSG00000115944,-,1285,1302
COX7A2L,ENSG00000115944,-,2329,2346
SF3A3,ENSG00000183431,+,715,732
SF3A3,ENSG00000183431,+,716,733
SF3A3,ENSG00000183431,-,2721,2738
TMEM178A,ENSG00000152154,+,1620,1637
UBFD1,ENSG00000103353,+,939,956
UBFD1,ENSG00000103353,+,2837,2854
UBFD1,ENSG00000103353,-,99,116
UBFD1,ENSG00000103353,-,2058,2075
TNNC2,ENSG00000101470,+,1156,1173
TNNC2,ENSG00000101470,+,1894,1911
TNNC2,ENSG00000101470,+,1900,1917
TAF12,ENSG00000120656,-,828,845
TAF12,ENSG00000120656,-,1528,1545
NTNG1,ENSG00000162631,+,838,855
NTNG1,ENSG00000162631,+,879,896
NTNG1,ENSG00000162631,-,1218,1235
NTNG1,ENSG00000162631,-,2549,2566
NTNG1,ENSG00000162631,-,2650,2667
KCNE3,ENSG00000175538,+,2052,2069
VIM,ENSG00000026025,-,1401,1418
WDR34,ENSG00000119333,-,2528,2545
RWDD3,ENSG00000122481,+,2030,2047
RWDD3,ENSG00000122481,-,1543,1560
RWDD3,ENSG00000122481,-,1548,1565
RWDD3,ENSG00000122481,-,1586,1603
LRRC41,ENSG00000132128,+,226,243
LRRC41,ENSG00000132128,+,279,296
LRRC41,ENSG00000132128,-,1588,1605
CPNE2,ENSG00000140848,-,942,959
CNGA4,ENSG00000132259,+,2098,2115
EDAR,ENSG00000135960,+,2426,2443
EDAR,ENSG00000135960,-,0,17
EDAR,ENSG00000135960,-,1749,1766
EDAR,ENSG00000135960,-,1750,1767
EDAR,ENSG00000135960,-,1755,1772
EDAR,ENSG00000135960,-,1760,1777
HHIP,ENSG00000164161,+,972,989
HHIP,ENSG00000164161,+,1416,1433
SUCLA2,ENSG00000136143,+,53,70
SUCLA2,ENSG00000136143,+,2033,2050
SUCLA2,ENSG00000136143,+,2092,2109
SUCLA2,ENSG00000136143,+,2098,2115
SUCLA2,ENSG00000136143,+,2235,2252
PYROXD2,ENSG00000119943,+,1767,1784
PYROXD2,ENSG00000119943,-,1877,1894
CCDC173,ENSG00000154479,+,157,174
CCDC173,ENSG00000154479,-,460,477
CCDC173,ENSG00000154479,-,563,580
MEI1,ENSG00000167077,-,2409,2426
RBMX2,ENSG00000134597,+,2828,2845
RBMX2,ENSG00000134597,-,1221,1238
TYK2,ENSG00000105397,+,114,131
TYK2,ENSG00000105397,+,438,455
TYK2,ENSG00000105397,-,1111,1128
TYK2,ENSG00000105397,-,1208,1225
TYK2,ENSG00000105397,-,1213,1230
TYK2,ENSG00000105397,-,1214,1231
SLC5A1,ENSG00000100170,-,1228,1245
SLC5A1,ENSG00000100170,-,2325,2342
DPY19L4,ENSG00000156162,-,374,391
DPY19L4,ENSG00000156162,-,1392,1409
APOOL,ENSG00000155008,+,1305,1322
APOOL,ENSG00000155008,-,403,420
APOOL,ENSG00000155008,-,1545,1562
APOOL,ENSG00000155008,-,2145,2162
UNC13A,ENSG00000130477,+,560,577
UNC13A,ENSG00000130477,+,576,593
PIBF1,ENSG00000083535,+,1313,1330
PIBF1,ENSG00000083535,-,2352,2369
PIBF1,ENSG00000083535,-,2784,2801
PIBF1,ENSG00000083535,-,2969,2986
ARG2,ENSG00000081181,-,359,376
ARG2,ENSG00000081181,-,364,381
ARG2,ENSG00000081181,-,365,382
EIF2B5,ENSG00000145191,+,207,224
EIF2B5,ENSG00000145191,+,212,229
EIF2B5,ENSG00000145191,+,213,230
EIF2B5,ENSG00000145191,+,525,542
EIF2B5,ENSG00000145191,+,596,613
