Gene_Name,Gene_ID,Transcription_Factor,Strand,Start,End,Sequence_Type
KCNAB1,ENSG00000169282,IRF3,+,21783,21800,Genomic
KCNAB1,ENSG00000169282,IRF3,+,48578,48595,Genomic
KCNAB1,ENSG00000169282,IRF3,+,48584,48601,Genomic
KCNAB1,ENSG00000169282,IRF3,+,100079,100096,Genomic
KCNAB1,ENSG00000169282,IRF3,+,124765,124782,Genomic
KCNAB1,ENSG00000169282,IRF3,+,124771,124788,Genomic
KCNAB1,ENSG00000169282,IRF3,+,174735,174752,Genomic
KCNAB1,ENSG00000169282,IRF3,+,187422,187439,Genomic
KCNAB1,ENSG00000169282,IRF3,+,262483,262500,Genomic
KCNAB1,ENSG00000169282,IRF3,+,282643,282660,Genomic
KCNAB1,ENSG00000169282,IRF3,+,309950,309967,Genomic
KCNAB1,ENSG00000169282,IRF3,+,312084,312101,Genomic
KCNAB1,ENSG00000169282,IRF3,+,313880,313897,Genomic
KCNAB1,ENSG00000169282,IRF3,+,347766,347783,Genomic
KCNAB1,ENSG00000169282,IRF3,+,359105,359122,Genomic
KCNAB1,ENSG00000169282,IRF3,+,364006,364023,Genomic
KCNAB1,ENSG00000169282,IRF3,+,452486,452503,Genomic
KCNAB1,ENSG00000169282,IRF3,-,11067,11084,Genomic
KCNAB1,ENSG00000169282,IRF3,-,15729,15746,Genomic
KCNAB1,ENSG00000169282,IRF3,-,48029,48046,Genomic
KCNAB1,ENSG00000169282,IRF3,-,65579,65596,Genomic
KCNAB1,ENSG00000169282,IRF3,-,102811,102828,Genomic
KCNAB1,ENSG00000169282,IRF3,-,132726,132743,Genomic
KCNAB1,ENSG00000169282,IRF3,-,149475,149492,Genomic
KCNAB1,ENSG00000169282,IRF3,-,232599,232616,Genomic
KCNAB1,ENSG00000169282,IRF3,-,266803,266820,Genomic
KCNAB1,ENSG00000169282,IRF3,-,300249,300266,Genomic
KCNAB1,ENSG00000169282,IRF3,-,303104,303121,Genomic
KCNAB1,ENSG00000169282,IRF3,-,321456,321473,Genomic
KCNAB1,ENSG00000169282,IRF3,-,446431,446448,Genomic
KCNAB1,ENSG00000169282,+,559,576,Transcript,
ZNF341,ENSG00000131061,IRF3,+,13151,13168,Genomic
ZNF341,ENSG00000131061,IRF3,-,11614,11631,Genomic
MRC2,ENSG00000011028,IRF3,+,58068,58085,Genomic
MRC2,ENSG00000011028,IRF3,-,34354,34371,Genomic
COL23A1,ENSG00000050767,IRF3,+,37154,37171,Genomic
COL23A1,ENSG00000050767,IRF3,+,165364,165381,Genomic
COL23A1,ENSG00000050767,IRF3,+,192179,192196,Genomic
COL23A1,ENSG00000050767,IRF3,+,291244,291261,Genomic
COL23A1,ENSG00000050767,IRF3,-,67427,67444,Genomic
COL23A1,ENSG00000050767,IRF3,-,91718,91735,Genomic
COL23A1,ENSG00000050767,IRF3,-,169460,169477,Genomic
COL23A1,ENSG00000050767,IRF3,-,243693,243710,Genomic
ROBO3,ENSG00000154134,IRF3,+,71,88,Genomic
WDR78,ENSG00000152763,IRF3,+,23558,23575,Genomic
WDR78,ENSG00000152763,IRF3,+,38803,38820,Genomic
WDR78,ENSG00000152763,IRF3,+,85461,85478,Genomic
WDR78,ENSG00000152763,IRF3,+,104392,104409,Genomic
WDR78,ENSG00000152763,IRF3,-,46874,46891,Genomic
WDR78,ENSG00000152763,IRF3,-,72254,72271,Genomic
ENG,ENSG00000106991,IRF3,-,3370,3387,Genomic
HOOK3,ENSG00000168172,IRF3,+,80046,80063,Genomic
HOOK3,ENSG00000168172,IRF3,+,120099,120116,Genomic
HOOK3,ENSG00000168172,IRF3,-,98084,98101,Genomic
HOOK3,ENSG00000168172,IRF3,-,124737,124754,Genomic
HOOK3,ENSG00000168172,-,4995,5012,Transcript,
ABCC6,ENSG00000091262,IRF3,-,11222,11239,Genomic
STRAP,ENSG00000023734,IRF3,+,16716,16733,Genomic
STRAP,ENSG00000023734,IRF3,-,11348,11365,Genomic
STRAP,ENSG00000023734,IRF3,-,16683,16700,Genomic
RNF6,ENSG00000127870,IRF3,+,10786,10803,Genomic
RNF6,ENSG00000127870,IRF3,+,60948,60965,Genomic
RNF6,ENSG00000127870,IRF3,-,18262,18279,Genomic
RNF6,ENSG00000127870,IRF3,-,53795,53812,Genomic
RNF6,ENSG00000127870,IRF3,-,55324,55341,Genomic
UPF3A,ENSG00000169062,IRF3,+,10052,10069,Genomic
HLF,ENSG00000108924,IRF3,-,56172,56189,Genomic
STK4,ENSG00000101109,IRF3,+,34460,34477,Genomic
STK4,ENSG00000101109,IRF3,+,65554,65571,Genomic
STK4,ENSG00000101109,IRF3,-,25471,25488,Genomic
STK4,ENSG00000101109,IRF3,-,28580,28597,Genomic
STK4,ENSG00000101109,IRF3,-,40442,40459,Genomic
STK4,ENSG00000101109,IRF3,-,62639,62656,Genomic
STK4,ENSG00000101109,+,950,967,Transcript,
ZWILCH,ENSG00000174442,IRF3,+,41642,41659,Genomic
MRO,ENSG00000134042,IRF3,-,20358,20375,Genomic
COX7A2L,ENSG00000115944,IRF3,+,3712,3729,Genomic
COX7A2L,ENSG00000115944,IRF3,-,5974,5991,Genomic
COX7A2L,ENSG00000115944,IRF3,-,81626,81643,Genomic
TAF12,ENSG00000120656,IRF3,+,30652,30669,Genomic
TAF12,ENSG00000120656,IRF3,-,14887,14904,Genomic
NTNG1,ENSG00000162631,IRF3,+,2525,2542,Genomic
NTNG1,ENSG00000162631,IRF3,+,105398,105415,Genomic
NTNG1,ENSG00000162631,IRF3,+,309674,309691,Genomic
NTNG1,ENSG00000162631,IRF3,+,312425,312442,Genomic
NTNG1,ENSG00000162631,IRF3,-,26760,26777,Genomic
NTNG1,ENSG00000162631,IRF3,-,40337,40354,Genomic
NTNG1,ENSG00000162631,IRF3,-,69074,69091,Genomic
NTNG1,ENSG00000162631,IRF3,-,69605,69622,Genomic
NTNG1,ENSG00000162631,IRF3,-,125207,125224,Genomic
NTNG1,ENSG00000162631,IRF3,-,134355,134372,Genomic
NTNG1,ENSG00000162631,IRF3,-,243240,243257,Genomic
NTNG1,ENSG00000162631,IRF3,-,273146,273163,Genomic
NTNG1,ENSG00000162631,IRF3,-,286855,286872,Genomic
KCNE3,ENSG00000175538,IRF3,-,5459,5476,Genomic
WDR34,ENSG00000119333,IRF3,-,6182,6199,Genomic
RWDD3,ENSG00000122481,IRF3,+,13092,13109,Genomic
RWDD3,ENSG00000122481,+,756,773,Transcript,
CPNE2,ENSG00000140848,IRF3,+,56095,56112,Genomic
CPNE2,ENSG00000140848,IRF3,+,56101,56118,Genomic
CPNE2,ENSG00000140848,IRF3,-,20721,20738,Genomic
