Gene_Name,Gene_ID,Strand,Start,End,Sequence_Type
KCNAB1,ENSG00000169282,+,1448,1458,Genomic
KCNAB1,ENSG00000169282,+,1894,1904,Genomic
KCNAB1,ENSG00000169282,+,21789,21799,Genomic
KCNAB1,ENSG00000169282,+,48584,48594,Genomic
KCNAB1,ENSG00000169282,+,48745,48755,Genomic
KCNAB1,ENSG00000169282,+,49221,49231,Genomic
KCNAB1,ENSG00000169282,+,56332,56342,Genomic
KCNAB1,ENSG00000169282,+,63707,63717,Genomic
KCNAB1,ENSG00000169282,+,78355,78365,Genomic
KCNAB1,ENSG00000169282,+,110485,110495,Genomic
KCNAB1,ENSG00000169282,+,138105,138115,Genomic
KCNAB1,ENSG00000169282,+,170723,170733,Genomic
KCNAB1,ENSG00000169282,+,187388,187398,Genomic
KCNAB1,ENSG00000169282,+,187428,187438,Genomic
KCNAB1,ENSG00000169282,+,189502,189512,Genomic
KCNAB1,ENSG00000169282,+,200219,200229,Genomic
KCNAB1,ENSG00000169282,+,238867,238877,Genomic
KCNAB1,ENSG00000169282,+,270807,270817,Genomic
KCNAB1,ENSG00000169282,+,297045,297055,Genomic
KCNAB1,ENSG00000169282,+,309956,309966,Genomic
KCNAB1,ENSG00000169282,+,312090,312100,Genomic
KCNAB1,ENSG00000169282,+,318979,318989,Genomic
KCNAB1,ENSG00000169282,+,334440,334450,Genomic
KCNAB1,ENSG00000169282,+,337031,337041,Genomic
KCNAB1,ENSG00000169282,+,364737,364747,Genomic
KCNAB1,ENSG00000169282,+,367703,367713,Genomic
KCNAB1,ENSG00000169282,+,371664,371674,Genomic
KCNAB1,ENSG00000169282,+,376779,376789,Genomic
KCNAB1,ENSG00000169282,+,397484,397494,Genomic
KCNAB1,ENSG00000169282,+,400079,400089,Genomic
KCNAB1,ENSG00000169282,+,423726,423736,Genomic
KCNAB1,ENSG00000169282,+,427065,427075,Genomic
KCNAB1,ENSG00000169282,+,428446,428456,Genomic
KCNAB1,ENSG00000169282,+,429996,430006,Genomic
KCNAB1,ENSG00000169282,+,452486,452496,Genomic
KCNAB1,ENSG00000169282,+,475609,475619,Genomic
KCNAB1,ENSG00000169282,+,480903,480913,Genomic
KCNAB1,ENSG00000169282,+,481248,481258,Genomic
KCNAB1,ENSG00000169282,-,6356,6366,Genomic
KCNAB1,ENSG00000169282,-,10645,10655,Genomic
KCNAB1,ENSG00000169282,-,39417,39427,Genomic
KCNAB1,ENSG00000169282,-,40294,40304,Genomic
KCNAB1,ENSG00000169282,-,40563,40573,Genomic
KCNAB1,ENSG00000169282,-,77291,77301,Genomic
KCNAB1,ENSG00000169282,-,84665,84675,Genomic
KCNAB1,ENSG00000169282,-,84771,84781,Genomic
KCNAB1,ENSG00000169282,-,102812,102822,Genomic
KCNAB1,ENSG00000169282,-,111261,111271,Genomic
KCNAB1,ENSG00000169282,-,111645,111655,Genomic
KCNAB1,ENSG00000169282,-,117112,117122,Genomic
KCNAB1,ENSG00000169282,-,122014,122024,Genomic
KCNAB1,ENSG00000169282,-,123609,123619,Genomic
KCNAB1,ENSG00000169282,-,132727,132737,Genomic
KCNAB1,ENSG00000169282,-,156114,156124,Genomic
KCNAB1,ENSG00000169282,-,161760,161770,Genomic
KCNAB1,ENSG00000169282,-,168352,168362,Genomic
KCNAB1,ENSG00000169282,-,169082,169092,Genomic
KCNAB1,ENSG00000169282,-,169711,169721,Genomic
KCNAB1,ENSG00000169282,-,176315,176325,Genomic
KCNAB1,ENSG00000169282,-,198237,198247,Genomic
KCNAB1,ENSG00000169282,-,204164,204174,Genomic
KCNAB1,ENSG00000169282,-,204325,204335,Genomic
KCNAB1,ENSG00000169282,-,221124,221134,Genomic
KCNAB1,ENSG00000169282,-,225978,225988,Genomic
KCNAB1,ENSG00000169282,-,227667,227677,Genomic
KCNAB1,ENSG00000169282,-,231301,231311,Genomic
KCNAB1,ENSG00000169282,-,234345,234355,Genomic
KCNAB1,ENSG00000169282,-,252164,252174,Genomic
KCNAB1,ENSG00000169282,-,263213,263223,Genomic
KCNAB1,ENSG00000169282,-,264456,264466,Genomic
KCNAB1,ENSG00000169282,-,266804,266814,Genomic
KCNAB1,ENSG00000169282,-,275846,275856,Genomic
KCNAB1,ENSG00000169282,-,279891,279901,Genomic
KCNAB1,ENSG00000169282,-,300250,300260,Genomic
KCNAB1,ENSG00000169282,-,312680,312690,Genomic
KCNAB1,ENSG00000169282,-,316049,316059,Genomic
KCNAB1,ENSG00000169282,-,321457,321467,Genomic
KCNAB1,ENSG00000169282,-,330624,330634,Genomic
KCNAB1,ENSG00000169282,-,332846,332856,Genomic
KCNAB1,ENSG00000169282,-,336188,336198,Genomic
KCNAB1,ENSG00000169282,-,346071,346081,Genomic
KCNAB1,ENSG00000169282,-,347200,347210,Genomic
KCNAB1,ENSG00000169282,-,365971,365981,Genomic
KCNAB1,ENSG00000169282,-,367024,367034,Genomic
KCNAB1,ENSG00000169282,-,368293,368303,Genomic
KCNAB1,ENSG00000169282,-,371698,371708,Genomic
KCNAB1,ENSG00000169282,-,372261,372271,Genomic
KCNAB1,ENSG00000169282,-,400124,400134,Genomic
KCNAB1,ENSG00000169282,-,412424,412434,Genomic
KCNAB1,ENSG00000169282,-,426134,426144,Genomic
KCNAB1,ENSG00000169282,-,446432,446442,Genomic
KCNAB1,ENSG00000169282,-,456924,456934,Genomic
KCNAB1,ENSG00000169282,-,457928,457938,Genomic
KCNAB1,ENSG00000169282,-,467339,467349,Genomic
KCNAB1,ENSG00000169282,-,479540,479550,Genomic
KCNAB1,ENSG00000169282,-,495670,495680,Genomic
KCNAB1,ENSG00000169282,+,565,575,Transcript
ZNF341,ENSG00000131061,+,13151,13161,Genomic
ZNF341,ENSG00000131061,+,13161,13171,Genomic
ZNF341,ENSG00000131061,+,46496,46506,Genomic
ZNF341,ENSG00000131061,+,46592,46602,Genomic
ZNF341,ENSG00000131061,-,11615,11625,Genomic
ZNF341,ENSG00000131061,-,26427,26437,Genomic
ZNF341,ENSG00000131061,-,47140,47150,Genomic
SFXN4,ENSG00000183605,+,24940,24950,Genomic
SFXN4,ENSG00000183605,-,12779,12789,Genomic
SFXN4,ENSG00000183605,+,1048,1058,Transcript
SDR9C7,ENSG00000170426,+,4130,4140,Genomic
SDR9C7,ENSG00000170426,+,9322,9332,Genomic
MRC2,ENSG00000011028,+,2986,2996,Genomic
MRC2,ENSG00000011028,+,10386,10396,Genomic
MRC2,ENSG00000011028,+,16178,16188,Genomic
MRC2,ENSG00000011028,+,28569,28579,Genomic
MRC2,ENSG00000011028,+,41242,41252,Genomic
MRC2,ENSG00000011028,-,5265,5275,Genomic
MRC2,ENSG00000011028,-,20007,20017,Genomic
MRC2,ENSG00000011028,-,30609,30619,Genomic
MRC2,ENSG00000011028,-,31591,31601,Genomic
MRC2,ENSG00000011028,-,34355,34365,Genomic
MRC2,ENSG00000011028,-,34375,34385,Genomic
MRC2,ENSG00000011028,-,36105,36115,Genomic
MRC2,ENSG00000011028,-,36143,36153,Genomic
MRC2,ENSG00000011028,-,64743,64753,Genomic
MRC2,ENSG00000011028,-,65494,65504,Genomic
MRC2,ENSG00000011028,-,4785,4795,Transcript
COL23A1,ENSG00000050767,+,20781,20791,Genomic
COL23A1,ENSG00000050767,+,35334,35344,Genomic
COL23A1,ENSG00000050767,+,37154,37164,Genomic
COL23A1,ENSG00000050767,+,82670,82680,Genomic
COL23A1,ENSG00000050767,+,107194,107204,Genomic
COL23A1,ENSG00000050767,+,145670,145680,Genomic
COL23A1,ENSG00000050767,+,155723,155733,Genomic
COL23A1,ENSG00000050767,+,165370,165380,Genomic
COL23A1,ENSG00000050767,+,170860,170870,Genomic
COL23A1,ENSG00000050767,+,192185,192195,Genomic
COL23A1,ENSG00000050767,+,201654,201664,Genomic
COL23A1,ENSG00000050767,+,203740,203750,Genomic
COL23A1,ENSG00000050767,+,210421,210431,Genomic
COL23A1,ENSG00000050767,+,214520,214530,Genomic
COL23A1,ENSG00000050767,+,217983,217993,Genomic
COL23A1,ENSG00000050767,+,217994,218004,Genomic
COL23A1,ENSG00000050767,+,218562,218572,Genomic
COL23A1,ENSG00000050767,+,234890,234900,Genomic
COL23A1,ENSG00000050767,+,256878,256888,Genomic
COL23A1,ENSG00000050767,+,291250,291260,Genomic
COL23A1,ENSG00000050767,+,323411,323421,Genomic
COL23A1,ENSG00000050767,+,338989,338999,Genomic
COL23A1,ENSG00000050767,-,3982,3992,Genomic
COL23A1,ENSG00000050767,-,37321,37331,Genomic
COL23A1,ENSG00000050767,-,51305,51315,Genomic
COL23A1,ENSG00000050767,-,51315,51325,Genomic
COL23A1,ENSG00000050767,-,63024,63034,Genomic
COL23A1,ENSG00000050767,-,67428,67438,Genomic
