Species,Gene_Name,ID,Transcription_Factor,Strand,Start,End,Sequence_Type
homo_sapiens,SP110,ENSG00000135899,IRF3,+,15069,15079,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,+,18583,18593,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,+,28401,28411,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,+,48059,48069,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,+,56733,56743,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,-,5743,5753,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,-,8088,8098,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,-,15315,15325,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,-,25251,25261,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,-,31702,31712,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,-,31747,31757,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,-,54430,54440,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,-,56980,56990,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,+,1545,1555,Transcript
homo_sapiens,SP110,ENSG00000135899,IRF7,+,15069,15079,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,+,18583,18593,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,+,28401,28411,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,+,48059,48069,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,+,56733,56743,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,-,5743,5753,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,-,8088,8098,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,-,15315,15325,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,-,25251,25261,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,-,31702,31712,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,-,31747,31757,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,-,54430,54440,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,-,56980,56990,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,+,1545,1555,Transcript
homo_sapiens,SP110,ENSG00000135899,IRF9,+,15069,15079,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF9,+,18583,18593,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF9,+,28401,28411,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF9,+,48059,48069,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF9,+,56733,56743,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF9,-,5743,5753,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF9,-,8088,8098,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF9,-,15315,15325,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF9,-,25251,25261,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF9,-,31702,31712,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF9,-,31747,31757,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF9,-,54430,54440,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF9,-,56980,56990,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF9,+,1545,1555,Transcript
homo_sapiens,DNAJA1,ENSG00000086061,IRF3,+,9104,9114,Genomic
homo_sapiens,DNAJA1,ENSG00000086061,IRF3,+,11089,11099,Genomic
homo_sapiens,DNAJA1,ENSG00000086061,IRF3,-,1089,1099,Genomic
homo_sapiens,DNAJA1,ENSG00000086061,IRF7,+,9104,9114,Genomic
homo_sapiens,DNAJA1,ENSG00000086061,IRF7,+,11089,11099,Genomic
homo_sapiens,DNAJA1,ENSG00000086061,IRF7,-,1089,1099,Genomic
homo_sapiens,DNAJA1,ENSG00000086061,IRF9,+,9104,9114,Genomic
homo_sapiens,DNAJA1,ENSG00000086061,IRF9,+,11089,11099,Genomic
homo_sapiens,DNAJA1,ENSG00000086061,IRF9,-,1089,1099,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF3,+,16213,16223,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF3,+,25044,25054,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF3,-,4808,4818,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF3,-,6749,6759,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF3,-,12598,12608,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF3,-,12641,12651,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF3,-,13447,13457,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF3,-,18744,18754,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF3,-,18757,18767,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF3,+,2359,2369,Transcript
homo_sapiens,IFIT2,ENSG00000119922,IRF7,+,16213,16223,Genomic
homo_sapiens,IFIT2,ENSG00000119922,IRF7,+,25044,25054,Genomic
