Species,Gene_Name,ID,Transcription_Factor,Strand,Start,End,Sequence_Type
homo_sapiens,SP110,ENSG00000135899,IRF3,+,615,625,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,+,17569,17579,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,+,21083,21093,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,+,30901,30911,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,+,50559,50569,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,+,59233,59243,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,-,8243,8253,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,-,10588,10598,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,-,17815,17825,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,-,27751,27761,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,-,34202,34212,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,-,34247,34257,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,-,56930,56940,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,-,59480,59490,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,-,65711,65721,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF3,+,1545,1555,Transcript
homo_sapiens,SP110,ENSG00000135899,IRF7,+,615,625,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,+,17569,17579,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,+,21083,21093,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,+,30901,30911,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,+,50559,50569,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,+,59233,59243,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,-,8243,8253,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,-,10588,10598,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,-,17815,17825,Genomic
homo_sapiens,SP110,ENSG00000135899,IRF7,-,27751,27761,Genomic
