Species,Gene_Name,ID,Transcription_Factor,Strand,Start,End,Sequence_Type
Homo sapiens,MX1,ENSG00000157601,IRF3,+,1049,1059,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,+,17614,17624,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,+,26021,26031,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,-,8738,8748,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,-,12334,12344,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,-,28220,28230,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,-,31110,31120,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,-,33388,33398,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,-,37651,37661,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,-,41498,41508,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,-,42074,42084,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,-,45308,45318,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF3,+,750,760,Transcript
Homo sapiens,MX1,ENSG00000157601,IRF3,+,1434,1444,Transcript
Homo sapiens,MX1,ENSG00000157601,IRF7,+,1049,1059,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,+,17614,17624,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,+,26021,26031,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,8738,8748,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,12334,12344,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,28220,28230,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,31110,31120,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,33388,33398,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,37651,37661,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,41498,41508,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,42074,42084,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,-,45308,45318,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF7,+,750,760,Transcript
Homo sapiens,MX1,ENSG00000157601,IRF7,+,1434,1444,Transcript
Homo sapiens,MX1,ENSG00000157601,IRF9,+,1049,1059,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,+,17614,17624,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,+,26021,26031,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,-,8738,8748,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,-,12334,12344,Genomic
Homo sapiens,MX1,ENSG00000157601,IRF9,-,28220,28230,Genomic
