Gene_Name,Gene_ID,Strand,Start,End,Sequence_Type
MX1,ENSG00000157601,+,1049,1059,Genomic
TNFSF10,ENSG00000121858,-,16652,16662,Genomic
ISG15,ENSG00000187608,+,12752,12762,Genomic
HERC6,ENSG00000138642,-,1173,1183,Genomic
HERC6,ENSG00000138642,-,56028,56038,Genomic
ZMYND15,ENSG00000141497,+,311,321,Genomic
CIITA,ENSG00000179583,+,1676,1686,Genomic
TRIM14,ENSG00000106785,-,474,484,Genomic
PARP12,ENSG00000059378,-,490,500,Genomic
SAMHD1,ENSG00000101347,-,1508,1518,Genomic
CXCL16,ENSG00000161921,-,775,785,Genomic
CXCL16,ENSG00000161921,-,275,285,Transcript
RNF213,ENSG00000173821,-,692,702,Genomic
DDX60,ENSG00000137628,+,578,588,Genomic
IRF1,ENSG00000125347,+,12185,12195,Genomic
TDRD7,ENSG00000196116,+,541,551,Genomic
TDRD7,ENSG00000196116,+,41,51,Transcript
TMEM229B,ENSG00000198133,-,19315,19325,Genomic
SERPINB9,ENSG00000170542,+,3967,3977,Genomic
ZNFX1,ENSG00000124201,+,809,819,Genomic
IRF2,ENSG00000168310,-,25989,25999,Genomic
IFI27,ENSG00000165949,-,6292,6302,Genomic
